stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.43,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,64.33,37.6,0,0,5.51,0,0,0,4.37,0,0,0,0,0,0
 14-21,0,0,0,4.41,2.55,1.6,1.16,0,83.43,0,0,0,0.9,0,0,0,0,1.93,7.01,100.08,100.27,20.21,36.27,7.96,0,0,12.58,159.1,2.92,6.36,305.92,0,0,0
 24-34,0,0,0,4.56,0,0.93,0.61,4.99,66.52,0,0.8,0,0,0,1.84,0,0,18.33,22.89,130.23,8.32,63.52,11.26,0,0,0,0,54.95,0,4.3,188.12,0,0,0
 36-46,0,0.85,0,4.03,0,4.3,1.94,1.6,80.31,0,0.73,0,0,0,0,0,0,20.36,3.16,127.98,3.9,66.65,5.34,0,0,0,0.86,28.11,2.51,0,135.71,0,0,0
 48-58,0,0,0,0.6,0,17.88,0,4.76,56.57,0,0,0.52,0,0,1.61,0,0,64.96,2.2,66.8,9.4,34.03,8.53,0,0,0,0,18.03,0,0,101.05,0,0,0
 60-70,0,0,0,0,0,4.27,0,0.86,42.31,0,0,0,0,0,4.73,0,0,83.14,1.02,56.72,11.19,49.64,6.37,0,0,0,0,36.95,0,0,63.39,0,0,0
 72-82,0,0.69,0,0,0,32.71,0,2.98,51.78,3.89,0,0,0,0,1.54,0,0,73.14,5.63,29.94,0,57.81,10.41,0,0,0,0,6.8,0,0,33.06,1.16,0,1.16
 84-94,0,2.23,0,0,0,35.04,0,7.7,53.93,5.45,0,0,0,0,5.06,0,0,81.86,3.9,30.82,0,46.42,23.03,0,0,1.4,0,4.58,0,0,27.59,0,0,0
 96-106,0,6.36,1.61,0.69,0,24.51,0,0,41.35,4.09,0,0,0,0,6.29,0,9.7,50.95,0,28.91,0,105.61,29.81,0,0,0,0,3.22,0,0,27.38,0,1.22,0
108-118,0,4.9,0,1.25,0,22.47,0,0,50.67,2.27,0,0,0,0,4.4,0,0,39.72,1.88,15.12,0,61.65,23.38,0,3.21,0,0,3.66,0,0,10.16,0.67,0,0
120,0,3.64,0,0,0,19.02,4.62,0,26.36,8.14,0,0,0,4.88,6.55,3.16,0,24.88,2.97,15.32,0,53.88,2.95,0,0,0,0,11.74,0,0,16.82,0,0,0
