stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pgc,pronephros,spinal.cord,vasculature
  7-9,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,0,0,0,1.22,5.09,0
 24-34,0.8,0,0,0,1.12,0,0,0,0,0,0,0,0,114.37,2.03,0,0,0,25.41,0
 36-46,0.85,0,1.96,0,0.85,0,0,0,0,0,1.57,0,0,208.34,1.42,0,1.17,0,17.37,0
 48-58,0.54,0,3.07,0,5.67,1.6,0,2.34,0,0,0.43,4.62,0.58,352.64,0,0,0,0,20.7,0
 60-70,0.7,0,0,0,41.2,0,0,5.01,0,0,2.12,0,7.01,522.47,0,0,0,0,28.68,0
 72-82,0,0,3.94,0,58.79,0,0,13.83,0,3.31,6.99,0,0,897.36,1.15,0.79,0,0,43.75,0
 84-94,0,0,3.75,11.05,67.28,0,0,12.74,0,0,8,0,0,641.61,0,3.79,0,0,23.09,0
 96-106,0,0,1.32,2.16,103.98,0,1.54,22.35,0,0,1.63,0,0,546.63,0.66,2.38,0,0,9.8,0
108-118,0,0,1.69,2.36,70.54,0,0,35.45,0,0,3.75,0,0,740.74,0,0.98,0,0,14.9,0.58
120,0,0,1.57,0,147.58,0,38.24,44.93,1.05,0,24.9,0,0,1074.54,0,16.03,0,0,22.67,0
