stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,37.17,216.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.32,214.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.7,10.85,0,6.96,6.8,0,0,0,3.54,0,0,0,0,0,0,0,0,229.18,0,0,0,100.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.6,6.16,0,0,25.95,0,0,0,3.05,0,0,0,0,0,0,0,0,218.04,3.99,0,0,91.75,0,0,0,24.99,0,0,0,0,0,0
 14-21,0,0,0.96,12.68,0,4.04,0,5.46,0,0,0,0,0,0,5.02,0,0,2.98,47.27,1.8,0,0,0.82,0,0,5.96,6.45,0,5.33,35.68,1.69,0,0
 24-34,0,0,0,2.41,0,3.58,0,6.84,0.77,0,0,0,0.72,0.68,5.49,0,0,3.4,98.2,0.75,1.39,0,0,1.61,1.73,0,4.72,0,1.68,14.69,1.59,0,0
 36-46,0,0,0,0,0,15.35,0,12.18,0,0,0,0,0.69,0.77,13.31,1.07,0,4.22,116.08,3.06,2.72,0,0,0,0,0,2.66,0,0,33.51,1.77,0,1.05
 48-58,0,0,0,0.48,0,38.47,0.64,9.43,0.41,0,0,0.38,0,0,6.07,0,0,0.49,52.57,0.39,4.34,0.81,0,0,0,0,0.61,2.5,0,18.41,0.63,0,0
 60-70,0,0,0,0,1.42,52.92,0,6.2,0,0,0,0.61,0.77,0,5.53,0,0.6,0,58.39,0,0,0,0,0,0,0,1.06,0,0,5.6,0,0,9.67
 72-82,0,0,0,0.72,8.11,24.47,0,0.83,0,0,0,0,0.79,0,4.63,0,0.93,2.64,31.01,0,1.06,0.57,0,0,0,0,4.41,0,0,5.97,0.88,0.52,2.27
 84-94,0,0,0,0,1.62,7.74,0,1.12,0,0,0,0,0.65,0,6.86,0,0,0,28.05,0,2.69,1.54,0,0,0.69,0,0.7,0,0,2.26,0,0,0
 96-106,0,0,0,1.95,0,16.47,0,12.39,1.87,0,0,0,1.21,0.63,5.12,0,0,0.65,14.09,0,0,0,0,0,4.78,0,0.7,0,0,0.83,0,0,0
108-118,0,0,0,0,2.38,12.88,0,0,1.55,0,0.59,0,0.53,0,6.66,1,0,0.79,10.27,0,0,1.79,0,0,0,0,1.38,0,0,0.42,0,0,0
120,0,0,0,2.39,0,20.75,0,0,0,0,1.88,0,0,0,0,0,0,2.68,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
