stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,833.75,21193.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1262.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,481.57,5828.13,0,0,0,0,0,0,0,0,0,0,12.54,0,0,0,0,0,0,0,0,0,0,133.07,6.07,0,0,9.21,0,975.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,132.18,0,737.39,0,0,78.42,0,0,0,0,0,53.08,0,0,0,0,0,0,0,0,0,0,2136.61,57.77,0,0,610.07,0,126.6,56.52,0,0,0,0,0,0,0,0,0,0
 10-12,3.8,212.83,0,1085.81,0,15.42,134.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8592.12,47.08,0,0,1255.14,0,48.48,40.45,4.61,1100.84,0,16.2,9.29,0,0,0,0,0
 14-21,0,0,0,20.2,358.3,74.66,20.67,0,0,0,4.53,59.33,0,0,0,4.13,0.87,0,0,0.94,103.46,0,36.89,205.32,0,0,1.96,14.11,0,48.13,0,39.17,26.2,2.43,107.5,76.38,0,0,1.63,0,0
 24-34,0,0,0.66,10.94,17.42,5.19,30.79,0,1.38,0.8,6.75,18.88,0,1.06,7.74,0,0.77,1.27,4.25,1.97,79.63,0,41,140.4,0,1.03,0.64,0,0,0.79,0.86,0,0,0,18.81,30.1,0,0,27.52,0,3.04
 36-46,0,0,0,0.84,4.44,5.26,11.74,0,0,0,11.85,2.3,0,0,32.26,0,18.32,0,1.07,0,31.02,10.02,9,62.13,0,0,0,0,0,4.93,0.78,0,0,0,0,7.41,0,0,20.4,0,0
 48-58,0,0,0,1.07,1.44,13.02,7.67,0.86,0,0.45,4.09,0.4,0,0.73,18.09,0,4.72,0,2.08,0,29.24,3.57,8.52,28.69,0,0,0,0,0,0,0.65,0,0,0,0,2.39,0,0,6.41,0,6.79
 60-70,0,0,0,0,0,21.61,2.07,0,0,0,6.72,0.65,0,1.29,25.1,0.92,5.3,0,0,0,12.15,0,0.58,30.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0.7
 72-82,0,0,0,0,0,137.31,6.67,0.5,0,1.36,10.27,0,0,0,22.11,0,4.02,0.53,3.06,0,8.09,1.04,0.76,54.63,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,10.88,0,0
 84-94,0,0,0,0,0.97,121.05,11.5,0,0.56,0,8.71,0.9,0,0,41.39,0,2.99,0,0,0,21.66,0,1.24,10.31,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0.89,9,0,0
 96-106,0,0,0,0,2.76,133.98,2.75,0,2.93,1.69,8.03,1.13,0,0,45.07,0.74,3.77,0.97,0,0,16.11,1.59,2.63,24.02,0,0,2.52,0,0,1,1.57,0,0,0,0,2.79,0,0,15.69,0,0
108-118,0,0,0,0,3.83,93.03,11.93,1.21,0.5,4,13.47,0.54,0,0,37.72,1.03,21.66,0.67,0,0,20.07,1.58,4.98,37.33,0,0,3.19,0,2.37,0,0,0,0,0,0,0,0.71,0,25.33,1.99,5.68
120,1.19,0,0,0,5.97,78.87,1.31,1.04,0,3.87,6.98,0,0,0,76,0,6.04,0,0,0,23.82,17.45,4.96,63.71,5.14,0,0,0,0,1.01,0,0,0,0,0,0,0,0,5.51,0,0
