stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,glial,gut,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,0,0.87,0,0,0,0,0,0,1.51,0,0,0,0,0.96,4.31,0
 24-34,0,0,0,0,0,0,0.9,8.06,0,0,0,0,0,0,0.73,0
 36-46,0,0,0,0,2.87,0,0,11.71,0,0,0,1.83,0,0,0,0
 48-58,0,0,0,6.72,0,0,0,6.55,0,0,4.77,0,0,0,3.14,0
 60-70,0,0,0,0,0,0,0.91,6.45,0,0,0,0,0,0,1.18,0
 72-82,1.15,0,0,9.42,0,0,0,15.85,0,0.51,0,0,0,0,1.56,0
 84-94,0,0,0,1.67,0,0.94,3.8,1.36,0,0,0,0.75,0,0,0,0
 96-106,0,0,1.07,8.85,0,0,0,2.43,0,0,0,0,5.77,0,0,0
108-118,0,0,0,7.3,0,0.56,0,8.67,0,0,0,0.52,0,0,0,0
120,0,2.43,0,12.87,5.06,0,0,0,0,0,0,0,0,0,0,1.67
