stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,heart,immune,iridophores,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  5-6,88.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.01,0,0,0,0,0
 10-12,0,0,10.05,0,0,0,0,0,0,0,0,0,0,0,0,23.41,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.07,0,0,1.12,0,0,0,0,0,0,1.96,4.08,18.73,0,0,0,0,1.29,0,6.03,0.86
 24-34,0,0.97,0,0.81,0.69,0,2.34,0,0.62,0,0,0,0.98,3.07,0,6.89,0.65,2.6,0,2.95,0,0,0,3.4
 36-46,0,0,0,10.7,0,0,1.44,0,0,0,0,0,0,0,1.3,7.26,0,0,0,7.54,0,0,0,0.91
 48-58,0,0,0,0.5,0,0,3.58,0.51,0,0,0,0,0,1.86,0.52,9.67,0,0,0,0,0,0,0,0.57
 60-70,0,0,0,1.09,0,0,0.6,0,0,0,0,0,0,2,0,11.14,2.85,0,0,0,0,0,0,4.04
 72-82,0,0,0,0.98,0,0,8.21,0,0,0,0,0,0,11.51,0,7.59,1.28,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,9.1,0,5.02,0.8,0.7,0,0,10.95,1.64,5.34,0,1.56,0,0,0,0.56,0,0
 96-106,0,0,0,0,1,0.63,1.49,0,0,0,0,0,1.31,10.83,0,2.85,0,0,0,0.94,0,0,0,0
108-118,0,0,0,0.59,0,9.67,6.37,0,1.55,0,0,1.03,0,11.89,0.57,6.37,0,0.82,0,0.91,0,0,0,0
120,0,0,0,1.74,0,1.6,0,0,6.78,0,0,0,0,0,5.73,8.96,0,0,0,1.12,0,0,0,0
