stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,68.68,552.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.7,1067.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.73,0,0,0,19.27,0,85.58,0,0,0,0,0,0,0,0,0
  7-9,17.28,46.08,0,31.29,0,0,70.02,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,658.83,6.49,0,0,183.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,44.02,0,58.6,0,0,63.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528.58,12.71,0,0,165.33,0,0,0,50.48,0,0,0,0,0,0,0
 14-21,0.89,0,0,1.98,27.17,3.56,11.5,0.87,0,0,0,0,0,0,1.77,0,0,0,0,9.64,0,0,6.38,171.02,0.82,2.76,1.21,2.25,0,5.3,17.59,0,13.05,42.89,0,0,1.09,0,0
 24-34,0.88,0,0,0.6,5.63,0,18.93,0.68,0,3.04,0.61,0,3.52,0,1.44,0,0.68,0,0,20.26,0,0,5.86,222.41,2.01,5.46,2.25,0,0,10.06,0,0,2.13,51.93,0,0,6.08,0,0
 36-46,0,0,0,0,8.98,0,29.35,0,0.62,8.44,0,0,0.73,0,0,0,2.76,1.15,0,19.19,0,0.63,10.63,287.38,1.36,5.59,1.31,0,0,16.05,0,0,0,79.72,0,0,3.63,0,0
 48-58,0,0,0,0,5.9,0,73.82,5.92,1.06,15.3,0,0,0.4,5.64,0,1.39,0.69,0,0.51,30.33,0,0,4.08,288.13,0.97,4.75,5.29,0,0,5.25,0,0.56,0,65.5,0,1.01,11.4,0,5.71
 60-70,0,0,0,0,1.36,0,122.52,0,0,8.9,0.75,1.21,0,0.57,1.79,0.93,0,1.63,0,46.26,0.65,0,1.41,260.88,0.75,0,9.59,0,0,11.79,0,0.58,0,24.93,0,0,7.5,0,0
 72-82,0,0,0,0,1.69,1.37,166.49,2.85,2.94,13.93,2.88,1.17,0,2.08,0.63,2.28,3.15,0,0,56.56,1.76,0.57,2.07,228.01,0,0.53,5.9,0,0.83,7.29,0,0.64,0,27.84,0.67,1.44,5.17,0.49,1.78
 84-94,0,0,0,0,5.89,27.12,106.23,0.94,2.3,19.31,1.67,0,0,2.47,3.68,1.66,1.1,0,2.81,56.47,3.57,2.18,4.87,198.28,3.99,0.9,12.49,0,0,24.84,0,1.22,0,13.64,1.14,1.24,7.6,1.66,0.89
 96-106,0,0,0,0,11.08,5.2,84.33,5.69,1.87,22.08,5.38,0,1.33,2.01,0.81,0.85,0,0.62,0,64.8,3.52,3.58,6.86,156.99,0,4.02,2.77,0,0,17.83,0,0,0,16.01,2.66,4.53,2.44,1.84,0
108-118,0,0,0,1.72,22.01,1.54,90.39,0,1.48,24.67,10.3,0,0,5.73,0.56,2.3,1.52,0,0.61,69.86,5.97,0,6.84,213.36,1.37,6.97,3.91,0,2.7,14.56,0,0,0,3.55,0.48,0,6.55,5.21,4.86
120,0,0,2.94,0,9.03,2.81,72.61,0,3.94,28.68,3.17,0,10.58,4.16,2.99,0,0,0,0,32.52,0,3.7,5.19,269.72,1.25,8.08,6.74,0,0,12.15,0,0,0,41.22,1.84,0,0,1.96,0
