stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,168.13,4638.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.33,0,0,0,0,0,0,0,0,0,0,0
  5-6,341.12,7494.57,10.71,0,0,0,0,0,0,0,0,44.47,0,0,0,0,0,0,0,0,0,0,0,282.53,13.91,0,0,87.75,0,73.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.77,103.45,83.76,0,0,0,284.76,0,0,0,0,51.81,0,0,0,0,0,0,0,0,0,0,0,2633.95,99.34,0,0,728.65,0,3.33,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.01,74.11,0,28.07,0,116.57,0,0,0,0,20.69,0,0,0,0,0,0,0,0,0,0,0,1281.36,39.98,0,0,533.6,0,0,0,0,47.32,0,0,3.28,0,0,0,0,0
 14-21,0,0,1.44,46.22,8.47,0,27.53,0,0,8.32,2,0,0,0,1.48,0,0,0,0,35.3,0.95,0,24.78,573.98,8.72,0.84,2.96,11.72,0,0.92,0,53.15,2.93,0,25.87,120.74,0,0,0,0,0
 24-34,0,0,1.27,8.95,0.81,0,61.93,0,0,13.82,0.78,0,0,0,2.34,0.77,0,0,0,64.64,0,0,21.61,774.32,1.56,12.94,3.54,0,0,0,0,0,0,1.16,4.58,148.61,0,0,4.49,0,0
 36-46,0,0,0,1.34,0,0,74.6,0.79,1.17,10.28,0,0,0,0,0.56,0,0,0,0,17.59,0,0,5.51,310.75,0,0.91,1.87,0,0,0.96,0,0,0,0,0,73.27,0,0,3.96,0,0
 48-58,0.39,0,0,3.73,0,0,125.06,4.45,2.11,27.87,0,0,0.89,1.8,0,0.38,3.88,0.58,0,35.17,3.1,1.97,5.29,217.63,0,1.77,1.16,0,0.56,0,0,0,0,0,0,47.97,0,0,9.9,0,6.2
 60-70,0,0,0,9.84,0,0,80.75,0,0,17.75,0.64,0,0,0,0,0,0,0,10.04,40.27,0,1.3,1.63,99.66,3.04,1.81,0,0,0,7.17,0,0,0,0,0,3.62,0,0,0.65,0.9,0
 72-82,0,0,0,1.32,0,0,34.75,1.05,2.83,9.31,0.59,0,0.55,0,0,0,0,0,0,22.86,0,1.35,1.82,46.33,0,0,0,0,1.53,0,0,0,0,0,0,0,1,0.72,0,0,0
 84-94,0,0,0,4.47,1.4,0,28.55,0,0,5.39,0,0,0,0,0.75,1.02,0,0,0,30.74,0,2.57,7.48,43.21,0,1.91,0,0,0,1.45,0,0,0,0,0,0.95,0,0,1.88,0,0
 96-106,0,0,0,6.57,0,1.76,31.29,0,0,19.25,2.38,0,0,1.89,0.56,1.6,5.55,0,0,12.12,0,0.57,2.15,98.47,0,1.92,2.09,0,0,3.14,0,0,0,0,0,5.12,0,0,4.1,0,0
108-118,0,0,0,3.05,0,0,28.72,0.84,0.53,4.44,3.73,0,0,0,1.08,0,0.87,0,0,10.45,1.04,1.59,1.35,36.46,0,4.39,1.58,0,0,1.93,0,0,0,0,0,0,0.91,0,0,0,3.69
120,0,0,0,7.07,0,0,37.86,2.48,0,13.06,0,0,0,3.02,0,0,0,0,0,4.29,0,0,1.08,64.52,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,9,0,8.94
