stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,heart,lateral_line,mesenchyme,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,401.37,0,0,0,0,0,0,0,0,0,0,0,0,29.26,0,0,0,0
  5-6,18.62,213.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,15.26,0,12.71,0,0,0,81.1,0,0,27.93,0,0,0,0,0
 10-12,0,0,8.8,0,0,0,3.04,0,0,0,67.01,3.54,0,25.01,0,8.93,0,0,0
 14-21,0,0,0,0,0,1.9,0,0,0,2.54,2.78,0,0,0,0,0,3.79,0,0
 24-34,0,0,0,0,0,0,0,3.12,0,1.62,13.26,0,0,0,1.02,0,1.03,0,0
 36-46,0,0,0,0.73,0,1.98,0,0,0,5.44,22.26,0,0,0,0,0,13.85,0,0
 48-58,0,0,0,0,3.04,6.21,0,0,0.97,0,38.45,0,0.7,0,1.07,0,2.08,0,0
 60-70,0,0,0,0,8.84,1.06,0,0,0,0,50.65,0,0,0,3.4,0,13.22,0,0
 72-82,0,0,0,0,10.41,0,0,0,0,1.76,61.95,0,0,0,0,0,11.03,0,0
 84-94,0,0,0,0,6.16,0,0,0,0,0,47.93,0,0,0,0.68,0,17.24,0,1.96
 96-106,0,0,0,0,2.87,0,0,0,0,0,43.92,0,0.6,0,0,0,0,0.61,0
108-118,0,0,0,0,5.63,1.8,0,0,0,4.49,45.9,0,0,0,0.51,0,0,0,0.57
120,0,0,0,4.24,7.1,6.49,0,0,0,0,96.4,0,0,0,0,0,0,0,0
