stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,16.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.32,13.83,0,0,4.84,0,0,0,18.05,0,0,0,0,0,0,0,0
 14-21,1.85,1.36,0,2.62,1096.73,18.32,0,8.37,0,2.62,0,0.98,0,7.08,2.74,0,0,0,0,0,0,251.94,2.59,0,89.33,43.09,931.31,0,90.03,1.71,0,0,35.52,0.81,13.25,898.88,105.06,0,0,4.35,0,1.19
 24-34,0,0,1.26,1.37,2994.64,8.96,0,108.13,29.24,176.36,51.88,8.06,0,1.57,6.22,5.5,1.49,3.58,0,4.01,7.67,2013.02,43.74,0,732.94,659.07,9387.18,6.98,222.81,0,0,60.22,0,1.89,21.9,318.69,1013.34,0,0,49.8,0,1.3
 36-46,1.07,0,0,0,1388.19,1.75,0,96.01,74.61,458.95,252.8,35.64,2.4,0,6.54,14.94,7.8,0,2.39,0.87,0,5320.45,4.85,0,1750.44,642.95,9607.04,16.48,194.06,0,0,27.1,0,0.67,28.42,8.43,1221.08,0,0.85,62.26,0,3.19
 48-58,10.78,0,0,0,556.17,7.89,0,315.17,43.32,304.09,391.45,55.27,0,0,1.53,2.66,0.95,11.16,0,11.48,6.93,10195.46,20.3,8.91,1822.53,729.16,3882.93,7.4,618.27,0,0,32.61,0,0,4.93,0.55,649.11,0,3.02,24.65,0,24.6
 60-70,3.53,0,0,0,234.1,6.48,0,337.42,41.44,277.36,295.09,115.03,4.12,0,0.66,9.77,8.34,11.38,1.63,5.86,9.05,16875.58,4.73,9.72,1058.34,453.81,898.2,25.6,969.4,0,3.15,32.34,0,0,5.25,0,252.06,2.06,74.74,15.75,1.46,21.56
 72-82,0,0,0,0,76.51,27.9,0,695.6,30.06,279.82,660.69,200.35,3.79,0,2.56,10.67,0,1.71,2.5,6.66,1.8,19464.67,2.36,18.86,1191.2,519.62,279.41,26.05,1704.44,0,3.04,12.13,0,7.72,4.25,0,170.8,2.98,119.64,10.2,11.8,43.94
 84-94,0.62,0,1.46,0,110.13,8.45,0,843.25,25.17,438.26,333.48,200.14,9.73,0,1.79,10.33,2.72,28.9,6.27,9.28,9.11,16179.75,2.35,30.39,718.55,271.94,303.14,11.32,2066.21,0,0,14.85,0,0.67,6.24,0,153.37,5.45,106.37,34.04,42.64,6.59
 96-106,0,0,0,0.7,100.01,52.27,12.33,572.71,7.38,448.44,306.38,188.85,6.27,0,12.19,15.48,7.35,0.92,5.49,30.33,0,13901.38,32.63,8.21,458.52,396.76,82.59,29.49,2806.51,0,2.56,40.24,0,0.89,2.62,0,41.83,11.49,94.93,8.46,14.12,24.94
108-118,3.95,0,4.21,0.98,82.35,19.49,2.84,443.93,6.25,742.91,337.04,261.32,6.69,0,13.86,6.11,4.41,0.78,0.69,4.9,0,13915.45,9.5,26.65,452.36,545.14,35.77,23.86,2736.71,0,21.75,27.71,0,0,0,0,62.95,1.32,72.11,7.29,4.85,5.7
120,2.82,0,0,0,79.22,8.5,2.02,295.26,6.67,454.21,195.91,133.56,19.29,0,19.1,0,0,0,0,1.86,0,12549.42,12.18,11.12,355.64,381.14,32.85,7.25,2733.97,0,11.79,23.9,0,0,0,0,68.1,1.27,53.98,3.97,0,10.98
