stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,25.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.39,0,0,0,0,0,0,0,0,0,0,0,0,25.98,0,0,0,6.57,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,4.6,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,41.41,0,0,5.16,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,2.14,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,6.61,0,0.99,30.95,0,0,0,0,0,0,7.4,0,0,0
 36-46,0,0,0,0,5.88,0,0,0,0,0,1.54,0,0.79,115.25,1.69,0,0,0,0,0,11.22,0,0,0
 48-58,0,0,0.43,0,19.42,0.81,7.38,0,3.43,0,4.36,0,0.45,205.3,0,0,0,0,0,0,24.46,0,0,0
 60-70,0,0,1.56,0,49.04,0,3.97,0,0,0,3.16,0,1.02,219.14,0,0,0,0,0,0,14.73,0,0,0
 72-82,0,1.85,0.77,2.39,31.28,0,10.68,0.54,0,0,10.44,0.51,0,187.39,1.77,0,0,1.59,0,0,26.04,0.5,0,0
 84-94,0,0,0,0,37.57,0,3.02,0,0,1.13,5.06,0,0.77,200.97,0,0.79,0,0,0,0,12.08,0,0,0
 96-106,0,1.1,0,0,24.11,0,0,0,0,0,2.4,0,0,88.27,0,0,0,0,0.67,0,2.35,0,10.21,1.96
108-118,0,0,0,0,29.88,0,1.83,0,0,0,5.63,2,0,146.28,1.94,1.93,0,0.69,0,0.51,7.09,0,0,0
120,0,0,0,1.27,22.05,0,8.75,0,0,0,0,0,0,182.66,3.73,0,0,2.6,0,0,1.64,0,6.48,0
