stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1.97,66.9,18.29,0,19.72,0,0,0,4.84,2.09,1.38,0,0,0,0,0,2.76,2.12,36.08,0,0,20.46,305.56,15.68,0,4.06,0.8,0,6.43,65.68,3.67,2.94,41.59,74.82,0,0,0,0,0
 24-34,0,1.49,1.43,27.87,6.47,0,80.37,0,2.27,0,2.85,2.42,0.76,0,0,0.78,0,1.47,0,0,57.18,1.55,0,25.6,439.55,0,2.45,4.44,0,0,10.7,0,0,0,13.44,101.37,0,0,7.82,0,0
 36-46,0,0,0,18.05,0.95,0,155.68,8.98,5.23,3.78,19.87,0,0,0.57,24.58,16.94,0,1.86,1.59,3.66,67.91,10.09,1.78,23.23,442.61,5.78,1.26,0,0,0.77,109.53,3.12,5.65,0,0,96.64,0,0,4.15,0,5
 48-58,0.58,0,0,16.5,0.46,0,257.68,3.52,8.62,11.14,36.17,2.75,1.07,0,1.83,1.11,3.7,1.35,0.39,0,95.55,2.46,2.93,14.92,337.84,1.42,2.74,22.69,0,0,35.82,0,7.75,1.17,0,60.47,0,0,24.91,0,2.64
 60-70,0,0.65,0,22.38,12.14,0,209.79,0,2.67,9.42,23.21,6.29,0.89,0,4.29,22.78,0.58,4.02,6.68,0,121.38,0,8.79,22.25,184.03,5.95,2.26,8.7,0,3.93,35.9,0,9.83,1.44,0,30.6,0,0.65,16.94,0,10.43
 72-82,0,1.22,0,11.95,34.7,0,144.23,0,0,11.32,44.48,4.91,0.65,0,21.06,1.05,0,2.86,1.6,0,123.91,1.48,2.96,20.4,171.05,2.38,4.91,0.81,0,1.06,19.67,0,0,0,0,36.92,1.44,1.89,15.41,1.77,19.08
 84-94,0,0,0,11.07,43.28,0,115.17,0,2.38,0.65,20.86,9.94,0,0,5.85,2.87,2.02,2.84,2.25,0,76.59,2.49,12.63,7.87,128.75,0,4.9,5.34,0,11.07,48.77,0,0,0,0,23.2,0,0,0.57,2.2,3.83
 96-106,0,0.87,0,13.36,103.91,0,89.33,2.47,1.44,3.47,41.83,11.33,0,4.03,5.15,3.55,0.77,1.42,0,0,110.68,5.34,6.66,8.75,92.71,2.14,4.35,3.58,0,0,34.43,0,3.21,0.6,0,11.37,2.45,0,12.51,0.69,14.42
108-118,0,0.8,1.06,29.37,35.3,1.34,61.62,0.92,15.07,4.49,42.74,10.22,0,0.74,7.88,9.14,1.86,2.44,10.33,0,95.66,0.51,4.08,5.37,111.86,1.78,5.38,2.92,0,2.06,30.48,0,0.48,0.49,0,9.78,0.71,0,3.86,0,3.69
120,0,9.35,0,57.18,111.2,1.09,111.19,0,9,8.96,64.61,11.42,0,8.88,12.54,14.8,7.44,3.87,1.08,0,214.01,3.01,0,14.87,242.89,13.72,2.35,18.63,0,0,65.96,0,8.42,0,0,17.39,0,0,16.24,14.04,2.59
