stage,blastomeres,endoderm,epidermis,eye,glial,heart,liver,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord
  3-4,26.85,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.72,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.25,0,0,0,0,26.89,0,7.33,0,0
 10-12,0,21.73,0,3.45,0,0,0,0,38.41,0,12.07,4.49,0
 14-21,0,0,0,0,0,0,0,0,8.12,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.98,0,0,0,1.56
 36-46,0,0,0,0,0,0,0,0,1.47,1.37,0,0,0
 48-58,0,0,0,0,1.29,0,0,1.27,2.12,0,0,0,0.81
 60-70,0,0,0,0,0,0,0,0,2.11,0,0,0,0
 72-82,0,0,0,2.54,0,0.51,0,0,0.78,0,0,0,0
 84-94,0,0,1.14,5.67,0,0,2.25,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.48,0,0,0,0
108-118,0,0,0,0,0,0,1.01,0,3.74,0,0,0,0
120,0,0,0,0,0,0,0,0,10.53,0,0,0,0
