stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,197.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0
 10-12,0,7.61,0,0,0,0,0,0,0,0,0,0,8.72,0,0,14.86,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.19,0,7.62,0,0.93,0,0,0,0
 24-34,0,0,0.71,0,1.69,0,0,0,1.95,0,0,0,14.1,0,0,0,0,1.49,3.92
 36-46,0,0,0,1.12,0.68,0,0,0,0,0,1.84,0,4.55,0,0,0,3.37,0,0
 48-58,0,0,3.35,0,1.96,0,0,0,0,6,0.56,0,24.97,3.77,0,0,2.41,1.9,0
 60-70,0,0,3.47,0,20.35,0,0,0,0,0,17.08,0,32.39,0,6.56,0,0,0,1.59
 72-82,0,0,0,0,11.71,0.68,0,0,3.37,0,8.99,0,13.44,0,0,0,2.56,0.64,0
 84-94,0,0,0,0,0.93,0,0,0,0,0,0,0.87,6.65,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0
108-118,0,0,0,0.58,0,0,4,0,0,0,0.86,1,1.05,0,0,0,0,0,0
120,0,0,0,1.71,0,0,0,7.69,0,0,0,0,24.12,0,0,0,0,0,0
