stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0
  5-6,10.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.95,0,0,0,15.83,0,0,0,0,0
 14-21,0,0,0.85,0,0,0,0,0,0,0,9.64,0,0,0,12.46,1.23,0,0,0,0,6.71,0,0,0
 24-34,0,0,0,0.76,0,0,2.41,0,0,0,0,0,2.72,0,57.7,0.95,0,4.13,0,0,69.1,1.21,0,0
 36-46,0,0,0,0,0.84,0,1.51,0.81,0,0,0,0,1.32,0,89.36,0,0,25.08,0,0,89.59,0,0,0
 48-58,0,0,0.49,0,0,0,0.59,0,0,0,0,0.53,1.2,0,28.61,0,0.59,25.91,0,0.66,49.42,2.15,0,0
 60-70,0,0,0,6.05,0,0,1.52,1.58,0,0,0,0,0.7,0,8.83,0,0,28.18,0,0,42.88,0,0,0
 72-82,0,0.87,2.3,0.57,0.82,1.79,0,0,0,5.93,4.58,0,1.91,0,22.02,0,0,83.42,0,0,17.14,0,0,0
 84-94,0,2.07,1.55,1.64,0,4.89,3.2,0,0.82,4.21,0.73,0,6.15,0,22.14,0,0,102.37,0,1.14,24.6,0.89,1.08,0
 96-106,0,2.36,5.23,4.78,0,9.2,0,0,0,9.94,10.84,0,3.34,0,23.76,0,0,89.07,0,0,3.76,0,0,1.24
108-118,0,1.21,10.75,5.3,1.3,3.63,0,0,0,10.25,2.02,0,3.63,0.72,10.64,0,0,91.63,0,0.63,1.25,0,1.54,0
120,0,0,16.03,0,7.41,21.22,0,1.63,0,5.71,0,0,3.34,0,26.75,0,0,69.92,0,0,0,0,0,0
