stage,epidermis,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0.72,0,0,0
 36-46,0,0,0,0,2.46,0,0,0,0,0,7.37,0,0,2.73,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.55,1.39,1.51,0,0,0.47,0,0
 60-70,0,0,0,0,14.84,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,7.25,0,13.01,0,6.11,0,0,0,3.49,0,1.27,0,0,1.01,0
 84-94,0,1.51,0,0,24.5,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.64,19.36,0,0,0,0,2.14,0,0,0,0,0,0,0
108-118,0.45,0,0,0,19.13,0.48,2.14,1.08,0.63,0,1.98,0,0,0,0,0,1.03
120,0,0,12.3,0,7.49,0,0,0,0,0,22.61,0,0,0,0,0,0
