stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,159.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0
  7-9,0,30.41,0,0,85.85,0,0,0,92.93,0,0,0,0,0,0,579.05,20.46,0,242.02,0,0,0,0,0,0,0
 10-12,31.44,22.31,0,0,87.28,0,0,0,36.49,0,0,0,0,0,0,598.63,51.38,0,194.44,0,5.95,11.61,0,0,0,0
 14-21,0,0.83,0.91,0,0,0,0,0,0,0,0,0,0,0,0,11.93,0,0,0,0,0,0,3.02,0,0,0
 24-34,0,0,1.46,0.87,3.26,0,0,0,0,0,2.4,0,3,0,0,26.38,0,0,0,0,0,0,4.43,0,1.41,0
 36-46,0,0,0.58,6.7,14.54,0,4.2,0,0,0,5.47,0,7.62,7.36,0.78,186.67,0,1.85,0,6.1,0,0,54.42,0,1.22,0
 48-58,0,0,7.26,0,14.09,0,0.67,0,0,0,5.68,0,0,0,0,73.42,0,0.65,0,0,0,0,6.6,0,0,0
 60-70,0,0,0,0,22.32,0,0,0,0,0,6.81,0,2.46,0,0,42.55,0,0,0,0.65,0,0,0.9,0,0,0
 72-82,0,0,0,0,15.53,0,8.81,0,0,0,16.29,0,3.7,0,0,38.63,0,2.06,0,2.36,0,0,0,0,0,0
 84-94,0,0,0.55,0,16.66,0.79,0,0.96,0,0,8.36,0,1.89,0,0.68,29.52,0,0,0,1.31,0,0,1.18,2.5,1.18,0
 96-106,0,0,0,2.62,7.38,0,4.05,1.02,0,0.6,31.26,0,1.78,0,0.63,38.86,0,2.29,0,7.83,0,0,0,0,0.65,0
108-118,0,0,0.93,0,6.9,0,0,0,0,0,19.8,0.78,0.67,0,0,8.44,0,0.55,0,1.67,0,0,0,0,0,1.93
120,0,0,1.84,0,3.94,0,1.39,0,0,0,38.58,0,1.85,3.12,0,18.26,0,0,19.84,5.81,0,0,9.58,0,0,0
