stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,82.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0
  5-6,23.15,45.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.65,0,0,9.27,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.72,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.79,0,0,0,0,0,0,0.89,0,0,0,0,0,0,3.97,3.92,0,0,0,3.66,0,7.41,6.15,0,0,0,0,0
 24-34,0,0,0,0,0,0.97,0,0,0,0,0,0,2.57,0.7,0,0,0,0,0,2.58,18.51,0,0,0,1.4,0,5.06,1.84,7.83,0,3.99,0,0
 36-46,0,0,0.63,0,0,7.15,2.64,0,0,0,0,0,1.35,0,0,0,0,1.84,0,1.58,27.99,0.62,0,0,5.44,0,0,0,4.32,0,0,0,0
 48-58,0,0,4.72,0,0,8.18,12.27,0,0,1.72,0,0,0.6,0,0,0,0,0,0,0,34.03,0,0,0,3.33,0,0,0,9.38,0,1.41,0,0
 60-70,0,0,0.8,0,0,25.53,10.5,0,0,3.24,0,1.05,1.69,0,0,0,0,11.37,0,1.71,45.8,0,6,0,2.09,1.38,5.31,0,0.89,0.79,0,0,0
 72-82,0,0,0,0,0,21.23,0.6,0,2.6,5.97,0.66,0,1.5,0,0,0,0,11.43,0,1.28,49.3,0,0,0,1.06,0,2.68,0,3.7,0.57,4.78,0,3.06
 84-94,0,0,0,0,0,2.29,1.38,0,1.93,9.2,0,0.86,0.59,0,0,0,0,6.28,0,0,44.72,0,2.48,0,5.08,0,0,0,3.98,1.79,0,1.97,0
 96-106,0,0,1.07,6.01,0.56,1.51,2.21,0,2.5,7.67,0,0,0,0.67,0,9.75,0,17.67,2.61,5.3,58.25,0,0,0,2.26,0,0.8,0,1.95,1.99,0.99,2.57,0.72
108-118,0,0,1.97,1.45,3.22,16.06,5.51,0,1.31,6.43,0,0,3.3,0,0.82,0,1.01,20.39,0.69,2.31,71.75,0,0,0,1.21,0,1.68,0,0,0,6.35,1.54,1.5
120,0,0,1.32,0,0,8.51,10.04,1.05,0,2.49,0,0,0,0,0,12.99,0,19.07,0,0,21.4,0,1.32,0,0,0,1.63,0,0,0,2.09,0,0
