stage,axial,blastomeres,epidermis,eye,glial,ionocyte,mesenchyme,mural.cell,neural,presomitic.mesoderm,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,13.01,48.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.12,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.83,0,0,0,0
 14-21,0,0,5.08,0,0,0,0,0,0,1.17,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.01,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.45,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,4.01,0,0,0,0
 60-70,0,0,0,0,0,0,0.66,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.67,0,1.83,0,0,0,0
 84-94,0,0,0,0,0,0.61,0,0.96,1.5,0,0,0,0
 96-106,0,0,1.69,0,0,0,0,0,0,0,3.27,1.1,0
108-118,0,0,0,0.61,0,0.47,0,0,2.97,0,0,0,3.64
120,0,0,0,0,9.16,0,0,0,2.81,0,0,0,0
