stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,liver,mesenchyme,mucous,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,0,0,0,0
 14-21,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,2.8,0,0,0,0,0,0,0,0,0,4.57,0,0,0,0,0.94,0,2.53
 36-46,0,0,0,0,0,0,0,0,1.04,0,11.69,0,0,0,0,0,0,1.92
 48-58,0,0,0.46,0,0.4,0,0,0,0.85,0,13.96,0,0,0,0,0.94,0,0
 60-70,0.9,0,0,0,0,0,0,0,0,0,17.68,0,0,1.27,0,2.18,0,0
 72-82,0,0,0.68,0,0.67,2.25,0.54,0,0,0,8.05,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.42,2.77,0,0,0,0,10.65,0,0,0,0,0,0,0
 96-106,4.22,0,3.08,0.63,0,4.68,0,0,0.68,3.74,11.21,0,0.78,0,1.56,0,0,0
108-118,1.94,0,3.09,0,0.62,7.27,0,6.32,5.24,0,3.1,0,0,0.44,7.06,3.36,0.67,0
120,0,0,0,0,0,5.51,0,4.83,2.57,0,33.57,0,0,9.98,15.3,0,0,0
