stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,100.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,6.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.24,10.05,0,0,21.36,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.99,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88,0,0,6.47,27.84,14.51,0,5.37,2.1,0,0,0,3.59,0,8.62,7.11,0,0,0,0,0
 24-34,0,0,5.32,0,0,6.31,2.01,3.46,0,0,0,1.45,0,0.77,0,0,0,76.92,0,0,21.89,71.51,39.62,0,0.68,0,0,1.44,0,0,0,1.39,14.53,0,0,1.91,0,3.03
 36-46,0,0,3.08,0,0,5.2,1.06,1.53,7.72,0,0,0,0,0,0,0,0,98.91,0,1.28,21.99,45.36,37.81,5.91,1.85,0,0,3.08,0,0,0,0,4.29,0,0,2.8,0,2.8
 48-58,0,0,1.78,3.66,0,9.44,1.07,10.98,10.07,0,0.7,0.89,0.42,0,5.04,0,0,183.64,0,1.12,13,82.61,48.9,1.3,2.24,0,0,1.4,0,0,0,0,8.95,0,0.84,0,0,10.88
 60-70,0,0,1.55,0,0,15.79,1.62,6.61,3.14,0,0,0.7,8.83,0,0,1.2,2.6,323.35,0,2.52,14.59,25.46,13.08,0,12.24,0,0.84,1.67,0,0,0,0,13.37,0,3.79,0.82,0.9,21.71
 72-82,0,0,0.71,1.26,0,14.14,8.83,9.07,6.37,0,0,1.02,4.23,0,0,0,1.81,492.63,0,3.26,16.29,28.86,13.4,0,3.62,0,1.54,0.58,0,0,0,0,3.81,0,4.23,1.04,13.86,14.32
 84-94,0.62,0,6.47,1.06,0,16.19,4.7,4.01,20.89,2.43,0,0,14.17,0,0,1.81,3.37,378.6,0,6.36,15.57,19.57,13.63,0.61,10.52,0,0,4.39,0,0,0.93,0,8.61,0,16.48,2.53,4.58,27.73
 96-106,0,0,9.03,0,0,11.29,0,7.75,16.63,0.7,0,1.51,10.39,0,0,0,0,388.88,0.68,5.63,8.86,37.14,9.83,0,7.12,0,0,5.33,0,0,0,0,2.47,0,6.76,3.99,1.89,22.66
108-118,0,0,4.12,0,4.79,13.27,0.58,2.55,7.02,9.49,0,1.38,16.39,0,0,0,0.61,448.83,0.77,5.89,14.64,50.66,14.91,0,8.45,0,2.63,5.7,0,0,0.42,0,0.42,0.48,4.55,6.32,3.33,20.23
120,0,0,1.01,0,0,24.01,2.34,7.77,15.97,4.34,0,7.67,21.42,3.51,2.93,7.41,0,689.52,0,20.41,3.23,50.94,13.06,0,9.55,0,17.84,3.19,0,0,0,0,5.09,0,0,1.25,16.83,13.22
