stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,muscle,neural,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.78,0,0,0,0,0,0,0,0,0,0,0,0,0,9.56,0,0,0,0
 14-21,0,0,14,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.84,4.66,0,0,0,0.59,0,0,0,0.59,0,0,0.77,12.9,3.86,0,0.89,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,9.91,0,0,2.61,22.33,3.67,0,0,0,0,0
 48-58,0,0,0.6,0,0,0,0,0,0,0.65,3.79,0,0,3.21,22.38,4.13,1.35,0.86,0,0,0
 60-70,0,0,0,0,0,1.63,4.08,0.66,0,0,2.96,0,0,7.45,41.72,2.95,6.34,0,0,0,0
 72-82,0,0,0.56,0.9,0.54,9.57,3.52,0,0.62,0,19.93,0,0,3.56,7.58,11.09,9.76,1.41,0.52,0,0
 84-94,0,0.66,0.95,0,0,65.27,0.67,0,0,0,25.52,2.4,0,7.59,12.07,9.57,3.14,0,0,0,0.74
 96-106,0,4.26,0.59,0.59,0,36.73,5.17,0,0,0,40.93,0,0,6.06,8.53,9.37,14.84,0,0,3.24,0
108-118,0,1.03,0,0,0,137.15,0.57,0,0,0,40.47,0,0.73,45.39,5.68,18.03,11.6,0,0,0.93,0
120,0,7.45,0,0,0,75.16,32.38,0,0,0,104.58,0,0,11.04,43.33,13.64,34.63,0,0,0,0
