stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.36,52.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.4,0,0,8.03,0,0,0,0,0,0,0,11.48,0,0,0,0,0,19.27,5.42,0,51.83,0,0,0,0,0,0,0
 10-12,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,10.25,0,0,0,0,0
 14-21,0,0,0,0,8.21,3.24,0,0,0,0,0,0.85,0,0,0,6.49,4.19,8.52,2.47,0,0.84,0,11.85,0.9,1.54,16.74,1.92,0
 24-34,0,0,0,0,6.56,0,0,0.84,0,0,0.89,0,0,0,0,3.2,0,3.32,0,55.01,0,1.4,0,0,0,1.94,0,0
 36-46,0,0,0,0,17.47,0,0,0,0,0,0,0,0,0.56,0,0,0,6.32,0,57.64,0,11.2,0,0,0,0,0,0
 48-58,0,0,0,0,6.94,0,0,1.49,0,0,0,0,0,1.69,0,0.4,0,4.67,0,63.17,0,7.61,0,0,0,0,0,0.6
 60-70,0,0,0,0,20.19,0,11.47,0,0,0,0,0,0,7.09,0,0,0,8.08,0,141.44,0,1.61,0,0,0,0,0,0
 72-82,0,0,0,0,2.59,0,6.8,0,0.6,11.65,0,0,0,3.7,0,1.96,0,2.23,0,277.87,0,1.55,0,0,0,0,0,0
 84-94,0,0,3.91,0,10.33,0,0,3,0,0,0,0,0,1.32,0.8,0,0,2.07,0,419.26,0,3.94,0,0,0,0,2.67,3.7
 96-106,0,0,0,0,3.39,0,4.06,0.91,0,0,0,0,0,1.81,0.74,0,0,7.29,0,539.38,0,2.71,0,0,0,0,0,0
108-118,0,0,0,0,15.22,0,7.5,3.62,0,0,0,0,1.15,10.55,0.49,0,0,9.45,0,366.93,0,3.53,0,0,0,0,2.28,0
120,0,0,0,0,11.24,0,0,9.42,0,0,0,0,0,0,0,2.08,0,34.83,0,581.91,0,2.73,0,0,0,0,0,0
