stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,2.79,0,0,11.77,0,0,1.51,0,1.09,0
 24-34,0,0,2.67,0,0,0.69,0,0,0,0,0,0,3.92,0,0,0,0,0.85,0,0,1.74,10.96,2.09,0,161.99,0.7,0,0,0,3.26,0
 36-46,0,0,12.39,0,0,0,2.53,0,0,0,1.36,0,0,0,0,0,0,2.09,0.68,0,0,14.97,0.74,0,263.03,0,0,4.43,0,1.23,0
 48-58,0,0,4.17,0,0,7.45,2.26,0,14.77,0,1.12,0,1.04,0,0,0,1.04,3.8,7.78,0,0,22.11,2.95,0,194.39,0,0,2.53,0,0,7.29
 60-70,0,0,2.14,0,0,21.24,0,0,64.21,0,0,0,2.54,0,0,0,0,3.13,6.24,0,0,39.77,0,0,196.76,0,0,0,0,0,8.46
 72-82,0,0,5.32,5.71,0,60.35,7.12,0,187.9,0,0,1.08,2.35,0.64,1.55,0,0,23.68,25.35,0,0,48.36,0.53,4.15,183.48,0,0,1.16,0.87,8.07,0
 84-94,0,0,10.29,0,0,78.05,8.48,0,153.34,1.36,0,0,8.73,2.52,0.8,0,0,6.37,29.28,0,0,19.45,2.39,0,489.72,0,0.57,0.85,2.5,1.21,0
 96-106,0,1.1,19.91,0,0,90.04,4.19,0,169.22,3.9,0,0,7.58,0,0.9,0.74,0,4.93,29.72,0.88,0,56.16,3.94,1.23,466.49,0,0,0.84,0.67,2.07,7.24
108-118,0,0,33.43,0,0,116.5,3.46,0,159.15,4.22,0,2.42,11.86,0,0.61,1.74,0,14.31,19.27,0,0,39.42,3.04,2.11,391.15,0.45,0,2.91,1.38,1.5,0
120,0,0,49.67,0,5.29,111.06,1.05,1.44,243.46,4.07,0,0,1.65,0,3.37,0,0,2.83,15.3,0,4.57,40.44,1.57,2.52,228.58,0,0,0,0,0,0
