stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,immune,mesenchyme,muscle,neural,otic,periderm,spinal_cord,vasculature
  5-6,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,17.4,0,0,0,0
 10-12,0,0,0,0,20.51,0,0,0,0,0,9.17,0,0,0,0
 14-21,0,0,0,0.87,1.09,0,0,0,0,1.67,4.06,0,0,1.32,0
 24-34,0,0.7,0,0,1.17,0,0,0,0,0,34.19,0.76,0,6.29,0
 36-46,0,0,0,0,8.5,0,1.06,0,0.66,1.45,42.04,0,5.38,10.69,0
 48-58,0,0,0,0,12.14,0,0,0,0.41,0.68,8.28,0,0,3.6,0
 60-70,0,0,0,0,9.6,0,0,0,0.67,0,11.42,0,0,0.88,0
 72-82,0,0,0,0,4.53,0.82,0,0,0.96,0,6.1,0,0,0,0
 84-94,0,0,0.87,0,10.2,0,1.17,0,1.97,0,17.79,0,0,1.7,0
 96-106,0,0,0,0,4.56,0,0,0,0,0,0,0.98,0,0,3.58
108-118,0,0,0,0,3.63,0,6.2,0.43,0,0,3.49,4.42,0,0,0
120,0,0,0,0,4.27,0,0,0,5.59,0,15.38,0,0,0,0
