stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,20.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,20.29,0,0,0,18.74,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.58,0,0,0,0,5.44,0,0,0,0,11.6,0,0,1.04,0,0,0
 24-34,0,0.6,0.64,0,0,0,0,0,6.79,0,2.24,0.61,0.64,37.84,0,0,0,0,44.02,0,0.64,1.78,0,0,0
 36-46,0,0,17.96,1.68,0,0,0,0,0.85,0,4.58,0,0,23.38,0,0,0,0,34.37,0,0,0,0,0,0
 48-58,0,0,0,1.63,2.12,3.64,0,0,0,0.58,3.47,0.74,0,13.63,0.51,0,0,0,26.7,0,0,7,0,0,2.7
 60-70,0,0,4.86,6.16,3.34,1.9,0,0,0,0,6.88,0,0,18.22,0,0.81,0,0,26.39,0,0,3.37,0,0,0
 72-82,0,0,1.27,6.1,2.99,3.34,0,0,1.57,0,4.65,0.57,0.68,21.24,0,0,0.56,0,21.42,0.97,0,2.77,0,0,0.65
 84-94,0,0,1.84,3.55,4.45,5.88,0,0.86,2.71,0,0.94,0,0,17.64,0,0.6,1.76,0,57.27,0,0,6.3,0,0,1.26
 96-106,0,0,3.94,10.75,0,1.89,0,0,1.52,0,0.83,1.52,1.24,21.87,0,0,0,0,46.1,0,0,0.84,0,0,3.41
108-118,0,0,7.35,12.17,0,2.46,0,0,3.03,0,3.58,0.7,0.45,9.69,0,0,0,0,26.91,0,0,1.02,0.55,6.37,1.47
120,0,0,13.97,3.09,0,0,1.34,0,0,0,0,0,0,22.69,0,0,1.16,0,18.14,0,0,0,0,0,0
