stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,122.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.03,0,0,0,0,0,0,0,58.99,0,0.8,0.97,0,0,0,1.1,0.9,1.55,0,0.82,0.92,0,0,0,37.94
 24-34,0,0,0,0,0,1.05,0,1.71,0,0,0,0,0.76,181.03,1.47,0,43.95,0,5.13,0,0,0,0,2.24,0,0,2.04,0,0,177.03
 36-46,0,0,0,0,0,4.48,1.6,0,1.07,0,0,0,0,292.85,0,0,37.99,0,0.84,0.61,2.9,0,0,1.31,0,0,3.12,4.42,0,326.35
 48-58,0,0,0,0,0,21.2,0,0,4.53,0,0,0,13.54,299.63,4.08,0,41.97,0,3.05,0,0.38,0,0,8.72,0,0,3.15,0,0,385.7
 60-70,0,0,5.19,0,0,21.08,0,0,0.79,0,0,1.24,11.86,144.02,3.63,0,57.29,0,0,0,2.93,0,0,0,0,0,2.82,0,0,374.18
 72-82,0,0,0,0,0,32.03,0,0,1.47,0,0,0,6.72,234.31,23.54,0.73,59.7,0,0.67,0,1.4,0,0,0.76,0,0,1.06,3.17,0,469.88
 84-94,0,0,0,0,0,59.16,0,0,18.86,0,0,0,27.9,292.92,6.08,3.22,57.68,1.52,5.16,0,1.21,0,0,0,0,0,8.42,1.99,0.82,326.85
 96-106,0,0,0.85,2.27,0,63.88,0,0,5.39,0,1.95,0,28.17,185.41,15.3,0,65.78,0,4.84,15.39,0,2.06,0,0,0,0,5.18,0,2.48,359.23
108-118,0,0,2.76,0.66,9.58,65.57,0,0,1.07,0,0.66,0,52.35,385.48,6.07,0,52.01,0,0,0,0.73,0,0,0.42,0,0,0.63,0,1.13,349.59
120,0,0,0,0,0,35.85,0,0,10.57,1.01,0,0,6.45,278.92,4.15,0,69.38,0,0,0,0,0,0,0,0,0,0,0,0,237.7
