stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,26.21,836.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.27,1369.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,19.09,0,0,0,0,0,0,0
  7-9,14.75,20.27,0,48.89,0,0,54.63,0,0,0,37.66,0,0,0,0,0,0,0,0,871.67,14.59,0,0,281.25,0,0,0,0,0,0,0
 10-12,0,14.5,0,14.03,0,0,39.82,0,0,0,4.72,0,0,0,0,0,0,0,0,544.34,9.18,0,0,95.7,0,13.72,0,0,0,0,0
 14-21,0,0,0,0,2.45,2.16,0,0,0.95,0,0,0,0,0,0,0,0,0.84,3.51,8.14,0.83,0,0.82,0.83,0,0,3.07,1.04,0,0,0
 24-34,0,0,0,0,0.91,0,6.62,0,3.72,0,0,0,0.99,0,0.78,0,0,0.62,0,24.43,0,1.06,1.88,0,1.39,0,0,4.04,0,0,0
 36-46,0,0,0,0,6.05,0,0.73,0,1.28,0,0,1.24,0,0,0,0,0,0.63,1,16.7,0,3.08,1.4,0,3.33,0,0,0,0,0,0
 48-58,0,0,0,0,12.3,0,3.29,9.61,0,0,0,0,0,0,0,0,0,1.87,0.96,9.22,0,0,0,0,10.91,0,0,0.89,0,0,0
 60-70,0,0,0,0,4.07,0,11.96,0,2.37,0,0,0,2.43,8.99,0,0,0,2.15,0,2.26,0,1.43,2.73,0,18.29,0,0,3.01,0,0,0
 72-82,0,0,0.93,0,1.72,7.5,0,0,0,2.56,0,0,0,0,0,0,3.43,1.4,0,9.27,0,2.46,1.28,0,4.66,0,0,0,0.56,0,0
 84-94,0,0,0,0,4.15,0,5.69,0,0,0,0,0,0,0,0,1.49,0,0,0.77,10.98,0,0,0.96,0,8.37,0,0,0,0,1.08,2.01
 96-106,0,0,0,0,1.12,4.67,0,0,0,0,0,0,1.12,0,0,0,0,0,0,4.42,0,0,1.24,0,6.44,0,0,0,4.84,0,1.12
108-118,0,0,0,0,3.75,6.78,8.3,0,0,0,0,0.49,0,0.82,0,0,0,3.58,0,0,0,0,0,0,5.65,0,0,0,0,0,0
120,0,0,0,0,15.93,0,6.09,0,0,6.57,0,0,0,0,0,0,0,5.45,0,11.12,0,0,0,0,4.84,1.56,0,0,0,0,0
