stage,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,20.53,0,8.23,0,0,0,0,0,0
 10-12,16.58,0,0,4.16,0,0,0,0,7.7,5.72,0,0,0,0,0,0,0
 14-21,0,1.21,0,0,0,0,0,0,0,0,0,0,1.17,0,0.85,0.92,0
 24-34,0,0,0,0.76,0,0,0.72,1.2,6.72,0,0,0.95,0,0,0,1,0
 36-46,0,0,0,0,0,0,0,0,4.05,0,0,0.61,0,0,0,0,0
 48-58,0,0,0,0.38,0,0,0,0,1.09,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.08,0.95,0,0.57,0,3.6,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,1.08
 84-94,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0
 96-106,0,0,2.07,0.57,0,0,0,0,1.43,0,0,0,0,0.67,0,0,0
108-118,0,0,0,0.87,0.72,0,0,0,7.11,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.42,0,0,12.35,0,0,0,0,0,0,0,0
