stage,epidermis,eye,glial,heart,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,0,0,0,1.01,0,0,0,1.44,0
 24-34,0,0.68,0,0,0,0,1.76,0,15.05,0,0,0,0.73,0
 36-46,0,0,0.58,0,0,0,0.86,0,2.63,0,0,0,3.15,1.3
 48-58,0,2.87,2.78,0,0,0,7.57,0.42,8.31,0.39,0.51,0.4,10.74,0
 60-70,0,2.42,1.1,0,0,0,4.68,0,5.54,0,0,0,0,0
 72-82,0,8.81,1.53,1.53,0,0.61,3.05,0,4.69,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.9,3.86,0.56,0,0,0,0,0
 96-106,0.8,0,0,0,1.9,1.7,1.1,0,8.24,0,0,0.6,0,0.59
108-118,0,0,0,0,0,1.05,2.71,0,8.98,0,0,0,0,5.24
120,2.7,0,0,0,0,0,1.46,0,0,0,0,1.36,0,0
