stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,170.03,2756.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.04,0,0,0,0,0,0,0,0,0,0,0
  5-6,410.79,7974.55,0,0,0,0,0,0,0,0,0,0,0,26.66,0,0,0,0,0,0,0,0,0,0,0,207.15,30.03,0,0,43.28,130.3,0,0,0,0,0,0,0,0,0,0,0
  7-9,58.5,103.86,0,82.05,0,0,0,378.95,0,0,0,0,0,80.69,0,0,0,0,0,0,0,0,0,0,0,4180.92,129.38,0,0,1146.62,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,133.11,0,24,0,17.53,0,316.55,0,0,0,0,0,27.08,0,0,0,0,0,5.32,0,0,0,0,0,2201.51,84.25,0,0,633.12,0,17.95,0,23.05,0,0,0,0,0,0,0,0
 14-21,0,0,7.12,5.12,52.3,21.7,0,27.06,0,0,0,7.45,3.48,3.73,0.92,0,0,0,0,14.17,1.26,30.14,0,0,17.19,505.79,7.01,2.03,4.3,10.07,5.17,3.06,57.58,11.1,6.35,45.94,135.3,0,0,2.74,0,0
 24-34,0,0,2.02,1.29,13.82,6.77,0,30.22,0,1.44,0.61,3.49,0.89,0,0,3.75,2.03,0.83,0,13.58,11.12,23.54,0,0,7.44,663.25,1.58,26.53,5.29,0,3.24,0,0.95,1.45,1.36,2.6,187.54,0,0,15.17,0,6.16
 36-46,0,0,4.11,0.96,9.66,0.8,0,19.17,0,4.46,0,9.21,0.74,0,0,1.5,0,2.31,1.19,4.92,17.72,9.31,0,0.77,8.19,1091.47,0,28.28,0,0,13.76,0,0,0,0,0,252.55,0,0,0,0,7.83
 48-58,0,1.29,0.46,0,5.67,0,0,152.34,0.42,1.47,0.4,39.64,0.49,0,0.67,1.53,0,2.52,0.37,8.64,11.92,14.94,0,0.4,3.93,1409.6,0,11.54,2.03,0,0.87,0,0,0,0,0,262.71,0,0,0.5,0,6.58
 60-70,0,0,0,0,8.42,0,0,429.99,0,3.53,0.87,43.89,0,0,1.29,3.07,0,4.98,0.85,8.62,0,36.78,0,0,1.7,1810.82,0,13.77,0.69,0,0,0,0,4.15,0,0,262.33,0,1.2,0.72,0.85,0
 72-82,0,0,2.08,0,8.69,1.47,0,512.25,0,0,3.5,75.9,2.69,0,0,11.91,0,1.29,1,0,4.12,19.76,1,0,2.56,1756.95,0,17.08,5.3,0,1.24,0,0,0,0,0,145.4,1.07,0,5.15,1.23,11.98
 84-94,0,0,3.73,0,7.64,1.89,0,489.85,0,5.41,0.67,57.04,0.73,0,0,8.42,0.6,2.98,1.92,1.54,4.77,22.1,0.58,2.67,0,1106.71,0,13.81,10.62,0,1.05,0,0,1.09,0,0,95,2.34,0,0,2.24,4.59
 96-106,0,0,0.81,0,7.7,6.69,0,417.47,0,0.84,0,50.24,2.37,0,3.29,4.64,0.76,0.76,0,8.08,3.31,20.81,0,0.8,0,995.25,0,20.47,9.51,0,10.7,0,0,1.44,0,0,45.35,10.28,0,6.14,0.59,1.22
108-118,0,0,2.19,0,15.86,2.54,0,303.84,0,0.57,1.35,60.67,1.37,0,0,2.35,0,6.26,1.23,5.75,8.37,21.56,0,0,1.05,1229.56,0,17.34,14.66,0,0,1.11,0,0,0,0,40.71,8.9,0,4.49,0,1.88
120,0,0,2.94,0,16.56,11.32,14.01,346.53,1.14,0,0,147.65,0,0,1.17,23.69,3.3,5.78,0,1.64,0,62.77,0,0,0,2506.86,0,31.64,19.7,0,6.75,0,0,0,0,0,49.29,1.84,3.51,0,0,3.64
