stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,10.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,0,47.34,0.99,0,0,0,3.39,0,0,0,0,3.73,0.84,0,0,0
 24-34,0,0,4.14,0.7,0,0,0,0,0,0.76,3.03,0,5.13,0,0,45.98,0,0.61,0,0,3.94,0,0,0,0,9.68,0,0,0,0
 36-46,0,0,1.29,0,0,0,0,0,0,0,1.39,0,25.96,0,0,54.36,0,0,0,0,2.31,0,0,0,0,7.89,0,0,0,0
 48-58,0,0,0,0,0,0,1.95,0,0,0,14.98,0,53.04,0,0,115.91,0,2.38,0,0,5.19,0,0,0,0,19.54,0,0,0,0
 60-70,0,0,0,0,0,0,4.63,1.33,0,4.18,22.83,0,61.84,2.33,0,138.79,0,0,0,0,8.3,0,0,0,0,13.52,0,0,0,7.57
 72-82,0,0,0,0,3.74,0,3.78,0,0,3.11,40.28,0,73.17,0,0,271.58,0,5.09,1.59,0,20.69,0,0,2.7,1.16,13.05,1.51,0,0,1.45
 84-94,0,1.23,5.05,0.67,0,0,7.76,0,0,3.02,57.74,0,129.53,0,0.65,1111.48,2.48,9.53,0,0,29.48,0,0,0,0.71,22.43,2.42,2.36,0,0
 96-106,0,0,0,3.24,7.41,1.58,18.19,0,1.26,3.67,25.32,0,77.02,0,0,1025.55,0.71,12.74,0,1.47,96.37,0,0,0,18.7,11.54,6.9,0,0,2.39
108-118,0,0,1.07,6.83,0,0.43,49.68,1.44,0,5.11,25.64,0.86,69.91,2.68,0,2608.68,1.18,15.65,2.77,2.88,133,1.87,0.47,0,6.88,9.38,0,1.28,0,10.37
120,0,3.99,0,6.55,0,0,29.84,0,0,7.42,9.83,0,81.13,0,0,1078.53,0,6.86,0,2.85,75.19,0,0,0,0,12.85,0,0,3.8,20.19
