stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.59,3.56,0,0,7.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.59,0,0,0,0,23.38,0,0,0,0,0,0,0,0,0,0,0,81.09,0,0,0,57.95,0,8.73,0,22.98,0,0,0,0,0,0
 14-21,0,0,0.9,4.9,0,0,3.4,0,0,0,3.27,3.45,0,0,0,0,0,0,2.11,4.52,0,0,0.87,28.93,0,0,1.08,0,0,1.97,9.01,18.14,8.37,0,0,0,0,3.84
 24-34,0,1.26,0.6,1.28,0,0,39.51,0.8,0,0,0,0.66,0,0,0,0.89,0,0,50.2,2.89,0,0,0.68,155.18,0,0,0.81,0,0,0,1.72,0,28.51,0,0,0,0,6.37
 36-46,0,0,0,0.94,0,0,34.22,0,0,2.27,0,0,0,0,0,1.19,0,0,89.93,0.93,0,0,0.59,476.92,4,4.84,0,0,0,0,0.6,0,83.91,0,0,0,0,4.12
 48-58,0,0,0,1.92,0,0,101.33,0,0,10.07,0,0,0,0.96,0,5.04,0,0,84.6,2.64,0.5,0,1.65,809.79,0.38,1.34,1.07,0,0,0,0.94,0,110.25,0,0,0,0,24.73
 60-70,0,0,0,0.68,0,0,314.79,0,0,7.13,0,0,0,0,0,27.41,0,0,76.78,18.34,0,0,0,1190.97,0,0,0.62,0,0.6,0,0,0,166.32,0,0,0,0,62.3
 72-82,0,0,0,0.71,5.61,0,398.47,0,0,11.46,0,0,0,0,0,25.69,0,0,60.33,30.27,0,0,1.43,1256.04,0,3.41,1.05,0,0.79,0,0,0,104.62,0,0.87,3.66,0,20.5
 84-94,0,0,0,4.24,4.41,1.52,414.7,0,3.34,16.13,0,0,0,0,0,16.38,0.8,0,139.75,21.76,0,0.81,4.34,906.67,0,4.69,1.54,0,0.56,0,0,0,73.58,0,0,0,0,21.57
 96-106,0,0,0,9.36,8.54,0,352.36,0,2.8,17.01,0,0,3.87,0,0.86,10.93,2.44,0,53.34,20.12,0,0,6.9,766.74,0,4.4,0.87,0,2.69,0,0,0,37.48,0,0,1.35,0,9.46
108-118,0,3.86,0,6.61,1.55,0,350.64,0,0.99,22.96,1.58,0,0,0.97,0,39.45,0.42,3.99,105.47,22.65,0,3.6,0,1117.06,0.69,2.59,0,0,4.05,0,0,0,40.42,1.92,0,0,1.03,9.86
120,0,0,0,20.16,0,0,276.47,0,2.63,34.58,0,0,0,2.67,0,16.45,0,0,31.06,36.64,0,0,0,1469.79,0,0,3.16,0,0,0,0,0,51.88,0,1.56,0,0,0
