stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,heart,immune,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,34.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,118.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,0
  7-9,0,132.83,0,0,0,0,0,0,11.7,0,0,0,20.88,5.93,0,0,0,0,0,0,0
 10-12,0,100.41,0,0,0,9.23,0,0,0,0,0,0,94.71,0,14.5,0,0,10.77,0,0,0
 14-21,0,0,3.23,6.38,0,0,0,1.81,0,0,0,1.16,0,1.29,0,0,1.76,0,1,6.26,0
 24-34,0,0,0,0,0,1.34,0,0,0,4.3,0,0,4.64,0,0,0,0,0,0.77,8.34,0
 36-46,0,0,0,0,0,0,0,0,0,9.47,0,0,8.66,0,0,0,0,0,0.8,4.49,0
 48-58,0,0,0,0,0,0.53,0,0,0,18.29,0,0,12.86,0,0,0,0,0,1.54,16.54,0
 60-70,0,0,0,0,0,2.09,0,0,0,7.16,0,0,15.46,0,0,0,0,0,4.91,14.68,0
 72-82,0,0,0,0,0,7.51,0,7.91,0,29.78,0,0,34.46,0,0,0,0,0,2.07,83.54,3.41
 84-94,0,0,0,0.64,0,1.53,0,0,0,57.47,0,0.55,23.4,0,0,0,0,0,0,110.57,0
 96-106,0,0,0,0,3.58,1.61,1.01,4.27,0,53.74,0,2.14,14.84,0,0,0,0,0,3.78,190.29,0
108-118,0,0,0,0,0,6.9,0.42,3.77,0,77.49,1.68,1.79,42.16,0,0,1.71,0,0.44,0,195,0
120,0,0,0,0,0,0,0,8.44,0,170.74,0,9.85,42.97,0,0,8.43,0,0,0,315.91,0
