stage,epidermis,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,neural,notochord,olfactory,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48,0,0,0,0
 14-21,2.09,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,0,0,1.09,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,3.14,0,0,0,0,0,0,0.7,0,0
 36-46,0,0,0,0,0,0.56,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.67
 48-58,0,0,0,0,0,4.98,0,0,0.64,0,0.68,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.78,0,18.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.78,1.21,0,7.33,2.03,12.53,0,0,2.92,0,0,0,1.08,0,0,0,0,2.02,0.57,0
 84-94,0,1.49,0,1.37,0,30.04,0,0,0,0,3.08,0,0,0,3.25,0,0,0,0,0.88
 96-106,1.33,0.58,0,9.92,0,28.32,0,1.27,3.91,0,7.03,0,0,1.17,0,0.69,0,2.24,0,0
108-118,0.51,0,1.34,0,0,23,0,0,1.04,1.01,1.7,0.81,0,0,0,0.73,0.58,0,0,5.96
120,0,0,0,8.97,0,64.88,1.28,0,3.69,0,8.12,0,0,0,0,0,0,0,0,0
