stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.39,0,0,0,0,0,0,0,0,0.92,4.75,0,0,0,0,1.67,0,0,0,0,0,0
 24-34,0,2.47,0,0,0,0,0,0,0.66,1.32,0,5.87,0,2.99,1.16,0,4.67,0.67,0,0,0,0,0
 36-46,0,0,0,0,0,0.74,3.58,0,0,2.07,0.57,14.85,1.28,0.94,0,0,6.05,17.93,0,0,0,0,0
 48-58,0.43,6.27,0,1.78,1.03,0,1.84,0,0,4.64,0.61,10.75,0,0,0,0,1.65,4.21,0,0,0,0,0.48
 60-70,0,1.28,0,0,1.94,0,0,0,0,7.73,0,11.57,0,0,0,0,0.82,4.31,0,0,0,0,0
 72-82,0,5.97,0,1.59,0,0,3.73,0,0,5.47,0,6.45,0,0,0.55,0,2.78,0.63,0,0,0,0,0
 84-94,0,5.64,0.69,2.98,0.85,0,3.44,0,0,14.98,0,9.92,0,1.85,0,0.6,15.28,1.4,2.26,0.57,1.63,0,0
 96-106,0,11.8,0,0.67,2.29,1.11,4.39,0,0,11.55,2.75,10.25,0,0.75,0,0,9.51,1.3,0,0,0,0,0
108-118,0,10.33,0,0,6.04,0.43,1.66,0.43,0,0.87,0,4.36,0,0.48,0,0,7.11,0,0.69,0,0,1.09,0
120,0,4.16,0,0,4.92,0,0,0,0,20.65,1.86,0,0,0,0,0,3.66,0,0,0,0,0,0
