stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.92,0,0,0,0,0,0,0,0,2.15,3.34,0,0,0,0,0,0,0,0,0,2.43,18.35,0,0,0,1.46,0,0,0,0,4.12,3.13,28.34,0,3.44,0,0
 24-34,0,0,0.82,0,0,9.82,0,0,0,0.8,0,0,11.15,8.24,0,0,0,0,0,10.21,0,0,25.29,99.54,0.77,1.54,0.63,0,0,0,0,0,0,0,46.89,0,6.55,0,6.58
 36-46,0,0,1.67,0,0,11.08,0,3.74,0,5.68,0,0,2.84,0,0,0,0.62,0,2.79,10.53,0,1.14,11,146.94,0.9,2.69,0,0,0,4.23,0,0,9.24,0,37.88,0,7.56,0,17.56
 48-58,0,0,8.58,0,0,63.56,3.21,4.56,0.45,21.94,0,0,0.48,14.95,0,0,1.03,0,12.82,21.6,0,1.02,10.25,323.61,1.63,0.73,0,0,0,3.49,0,0,0,0,45.6,0,10.51,0,65.63
 60-70,0,0,6.78,4.69,0,295.96,1.63,0,6.46,44.78,0,0,0.92,2.72,0,0,0,6.73,0,21.92,2.4,8.02,1.55,391.59,0.71,1.16,0,0,0,0,0,0,1.01,0,45.68,0,11.59,0,55.57
 72-82,0.91,0,10.47,0.87,0,450.1,13.31,6.11,2.09,56.2,1.3,0,8.03,10.4,0,4.07,0,0,11.96,43.94,1.85,0,1.73,445.9,0,0,4.79,0,0.84,6.77,0,0,0,0,51.99,0,22.75,3.05,19.39
 84-94,0,0,7.36,0.92,0,261.35,0,6.11,5.32,34.68,0.98,0,5.91,23.01,0,6.78,0,0,18.17,24.73,1.41,12.06,0.76,377.41,0,2.17,1.36,0,0,3.4,1.4,0,1.55,0,31.93,1.23,36.85,0,34.38
 96-106,0,0,8.45,0,0,355.91,8.64,5.38,3.2,46.11,0,0,0,31.68,0,1.2,0,0,2.52,32.37,1.17,2.74,14.06,359.98,1.27,4.28,3.8,0,0,8.03,2.06,0,0,0,17.46,1.62,26.09,8.14,25.87
108-118,0,0.74,10.9,2.04,2.51,366.7,0.56,11.73,0.84,85.87,0.56,0,1.28,34.24,0,10.4,0,2.23,13.35,47.66,1.69,0,2.16,370.71,0,1.85,0,0,2.53,4.83,0,0,1.71,0,7.95,1.11,24.34,0.72,27.56
120,0,0,29.99,4.39,0,346.31,2.99,7.66,0,112.04,0,0,9.26,73.95,4.81,1.01,0,0,0,28.1,0,0,32.85,602.96,0,15.75,1.12,0,17.39,5.43,0,1.12,0,0,1.95,2.09,59.73,0,22.55
