stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,11.45,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.07,0,0,0,12.48,0,0,6.76,0,0
 10-12,0,0,0,0,0,0,0,0,5.66,0,6.27,0,0
 14-21,0,1.01,0,0,0,0,11.23,5.51,1.42,0,0,0,1.02
 24-34,0,0,0.62,0,0,0,0,0.59,0,0,0,0.63,0
 36-46,0,2.8,1.7,0,0,0,0,0,0,0,0,0,3.96
 48-58,0,0,0,0,0.65,0.43,1.72,0,0,0,0,0,0
 60-70,0,0.7,0,2.91,0,0,0,2.87,0,0,0,0,0
 72-82,0,0,0,0.66,0,0,0,0.91,0,0,0,0,0
 84-94,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.35,0,0,0,0,0.65,0,0.86,0
108-118,0,0,0,5.33,0,0,0,10.29,0,0,0,0,0
120,0,1.08,0,0,0,0,0,4.09,0,5.18,0,0,0
