stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,78.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.4,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.58,0,0,0,16.37,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.85,0,0,0,31.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.1,11.71,0,0,0,0,0,0,0,1.41,1.74,0,0,0,0,1.88,5.85,0,0,5.19,17.88,0.95,1.04,0,1.73,0,0.86,0,5.84,1.11,0,6.29,5.79,0,3.97,0,0
 24-34,0,0,1.05,0,12.54,3.67,0,6.07,0,1.2,0,1.24,0,0,9.73,1.01,0,0,0,0,20.93,0,0,13.58,48.35,0.92,0,3.43,0,0,0.62,0,0.83,5.27,0,0.62,17.21,0,46.88,0,0
 36-46,0,0,0,0,10.58,2.17,0,7.27,0,0.89,0.87,8.67,0.66,0,5.99,0,0,0,0,0,29.69,0,0,2.07,87.15,5.45,0,3.88,0,0,0,0,0,0,13.13,0,16.54,0,20.73,0,0
 48-58,0,0,0,0,8.93,2.21,0,24.93,0,1.82,0.43,11.7,0,0,4.71,0,0,0,3.01,0,55.47,0,1.62,7.88,104.46,7.53,0,6.22,0,0,0,0,0,0,1.71,0,23.75,0,12.72,0,0
 60-70,0,0,0,0,3.96,0,0,35.81,0,0.69,2.24,20.26,0,1.77,0.76,3.3,0.58,0,1.02,0,60.12,0,12.18,9.58,187.53,12.35,0,1.56,0,0,0,0,0,0.59,0,0,16.22,1.48,1.73,0,0
 72-82,0,0,0.95,0,12.66,4.02,0,51.61,0,0.5,1.75,44.43,9.47,0,1.24,1.07,0.7,0,2.04,0,130.96,0.77,4.56,10.64,247.41,1.6,0,8.29,0,0,0,0,0,0,0,0,19.56,2.98,13.03,4.33,7
 84-94,0,0,0,0,13.57,0.79,0,53.16,0.56,6.04,4.63,27.58,1.16,0,0.78,0.58,0.95,0.71,2.96,0,117.52,0,4.86,3.47,153.56,3.3,0.65,8.61,0,6.05,0.82,0,0,3.22,0,0,9.64,3.23,9.15,1.37,0
 96-106,0,0,1.57,0,16.69,0,1.57,28.63,0,2.56,5.56,54.7,2.11,1.06,0.62,0.78,2.22,0.59,4.32,0,120.98,0,2.88,8.59,212.05,6.02,3.66,8.63,0,0,7.36,3.82,0,0.63,0,0,21.26,1.59,29.07,0,0
108-118,0,0,1.83,0,34.24,0,0,52.03,0,3.18,6.27,55.53,9.34,0,0.74,2.15,3.68,1.73,4.44,1.01,150.82,0,5.37,10.92,293.35,7.04,0.98,12.63,0,5.99,1.11,0,0,0.42,0,0,0.47,9.1,5.04,2.78,0
120,0,0,2.52,0,58.81,0,0,55.21,0,7.83,0,52.88,0,0,0,6.74,1.07,2.93,17.6,7.8,165.11,1.49,5.09,8.13,532.62,22.34,0,10.52,0,2.63,8.08,0,0,4.62,0,0,0,0,3.81,16.75,0
