stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,12.63,96.34,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.49,147.44,0,0,0,0,35.91,0,0,0,0,0,0,0
  7-9,11.61,0,13.74,0,0,0,151.04,12.46,0,170.21,0,0,0,0
 10-12,0,0,0,3.49,0,0,101.27,21.15,0,267.44,6.12,10.85,4.75,0
 14-21,0,0,0,0,0,0,0,0,0,1.94,18.05,0,11.73,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.18,0
 36-46,0,0,0,1.17,0,0,3.64,0,0.76,0,0,0,0,0.84
 48-58,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.9,0,0.52,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.76,0,0,0,0,0,0,0,0
120,0,0,0,2.36,0,0,0,0,0,0,0,0,0,0
