stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,33.54,557.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.26,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.74,598.04,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.09,0,0,0,0,19.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,40.73,56.53,0,24.42,0,0,0,76.53,0,0,0,0,0,24.35,0,0,0,0,0,0,0,0,0,0,759.9,26.35,0,0,167.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.48,0,40.93,0,11.1,0,82.79,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,593.51,24.53,0,0,170.21,0,5.47,0,37.49,0,4.35,0,0,0,0,0,0
 14-21,0,0,0,1.84,17.07,4.14,0,3.56,0,0,0,4.85,3.07,0,1.22,0,6.7,0,0,0,9.9,0,0,2.91,137.32,6.38,1.55,0,2.28,0.89,0,8.64,4.69,0,18.67,46.95,0,0,2.58,0,0
 24-34,0,0,0,0,16.08,0,0,20.54,0,0.68,0.62,4.63,0,0,5.27,0,0,0,0,0,26.73,5.25,0,9.2,433.75,2.25,6.39,4.94,0,9.92,0,0,0.6,0,0.69,79.62,0,0,11.1,0,6.82
 36-46,0,0,0,0,2.42,0,0,52.8,1.82,6.47,0.6,25.34,0,0,0,0,0,1.69,0,0,25.85,0,0,9.86,403.9,4,10.87,0.82,0,14.7,0,0,4.05,0,0,90.43,0,0,2.11,0,0
 48-58,0,0,0,0,28.35,0,0,102.3,0,2.82,0,21.44,0,0,3.82,1.49,0,0.38,0,0.51,24.85,7.16,0,5.6,337.46,0,0,16.43,0,6.2,0,0,0,0,0,60.97,0,0.61,0.61,0,0
 60-70,0,0,0,0,23.47,0,0,159.33,0,0,1.37,33.14,3.36,0,0,0,4.93,0.8,1.78,0,41.8,0,0.7,3.14,314.69,0,1.91,1.67,0,6.46,0,0,4.44,0.67,0,53.36,0,2.74,7.45,0,0
 72-82,0,0,0,0,6.5,1.54,0,82.61,0.82,0,0.59,31.92,1.57,0,1.42,0,0,0.64,0,1.81,52.84,0,0,8.26,212.1,0,2.27,2.92,0,4.83,0,0,0,0,0,32.86,1.01,0,6.86,0,3.91
 84-94,0,0,0,0,6.17,15.52,1.17,57.03,0,1.05,1.57,24.29,0,0,0,1.16,0,0,0,0,35.22,0,3.12,2.32,119.52,3.6,0,5.83,0,9.73,0,0,2.8,0,0,30.56,0,1.74,9.3,0,0
 96-106,0,0,0.83,0,4.38,13.19,0,58.57,0,0.58,0,13.19,2.64,0,0,0.63,1.04,0,0.67,0,36.72,2.78,0,5.19,97.36,0,2.04,4.97,0,8.01,0,0,0.82,0,0,8.35,0,0,5.57,1.49,0
108-118,0,0,0.58,1.06,5.88,11.27,2.33,36.96,0,0.96,0.56,29.32,0.88,0,1.81,1.04,1.71,1.22,0,1.51,37.86,3.33,0.94,3.43,156.51,2.61,6.11,8.7,0,3.22,0,0,0,0,0,8.78,1.49,1.53,1.83,0,0.43
120,0,0,0,0,16.5,18.89,0,75.93,2.44,0,3.27,63.91,0,0,0,4.21,3.1,0,0,0,144.81,1.56,0,5.35,367.61,0,3.86,0,0,9.47,0,0,0,0,0,33.69,0,0,10.07,0,0
