stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,117.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.76,179.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.58,0,0,0,0,0,0,0,0,33.27,7.99,0,7.9,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.43,40.91,0,0,0,11.92,0,0,0,0,0
 14-21,0,0,8.37,0.93,0,0,0,0,0,3.15,0,0,91.63,0,0,0.92,0,0,0,20.95,20.7,0,1.12,0,0,1.48,4.15,2.09,0,0
 24-34,0,0,2.71,0,5.95,0,0,0,0,0,0,0,26.24,0,1.63,1.7,0,0,0.64,26.01,1.36,0,0,0,0.98,0,7.79,0.6,0,0
 36-46,0,0,5.05,0,0,0,0,0,1.94,0,1.69,0,11.12,0,0,1.58,0.58,0,0.84,12.24,0.61,0,0,0,2.09,0,4.56,2.68,0,0
 48-58,0,0,0.42,0,2.62,0,0,0,0.46,0,0,0,11.55,0,0,2.29,3.17,0,0.77,6.02,0,0,0,0,0.56,0,12.58,6.15,1.88,0
 60-70,0,0,1.15,0,30.71,0.81,0,0,1.08,0,0,0,20.48,0,0,0,0,0.98,0,16,0,0,0,0,0,0,2,0,0,0
 72-82,0,0,0.91,0,7.25,0,0,1.47,0,0,0,0,24.06,0.99,0,2.15,0,0,0.55,30.42,0,0,0,0,0,0,2.34,4.63,0,0
 84-94,0,0,5.16,0,18.57,0,0,0,0,0,0,0,57.4,5.57,0,1.44,0.59,0,0,18.42,0,12.68,0,0,0,0,2.08,2.81,0,2.22
 96-106,0,0,5.29,0,27.79,0,0.59,2.88,0,0,0,0.56,60.68,13.42,0,9.4,0,1.26,0,86.52,0,25.82,0,2.58,10.89,0,2.71,2.15,0,0
108-118,0,0,6.5,0,22.95,0,0,0,4.46,0.51,0,0.62,47.58,7.94,0,1.26,6.92,0,0,49.55,0,10.24,0,0,0,0,2.57,0,0,0
120,0,0,1.11,0,30.14,0,0,0,0,0,0,0,27.22,5.23,0,0,0,0,0,55.9,0,4.22,0,0,0,0,0,0,0,0
