stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312.99,0,0,0,0,0,0,0,55.09,0,0,0,0,0,0,0,0
 14-21,0.89,0,4.52,4920.13,114.35,0,6.7,0,0,0,0,4.96,17.8,0,0,71.43,0,0,0,0,1893.13,57.02,0,746.04,123.43,5.06,0,0,1.02,0,17.75,1.92,0.94,3.06,0,36.52,0,0,6.61,0,0
 24-34,0,0,20.05,2031.72,45.49,0,4.62,0,3.87,53.26,2.28,0.66,0,0,0,6.15,0,0,3.36,0,2276.22,27.62,8.97,342.9,228.45,4.28,0,3.11,0,2.91,18.29,0,2.33,0,7.26,26.26,0,0,163.16,0,0
 36-46,0,0,0,618.37,11.23,0,2.89,5.14,5.06,13.8,3.03,0,0,0,0,9.66,0,0,5.03,0,867.45,9.77,241.73,78.44,122.19,0.88,1.19,0,0,0.77,24.85,0,3.06,0,0,15.12,0,0,333.43,4.65,6.06
 48-58,0,0,0,1124.44,5.15,0,34.55,1.17,51.07,19.52,7.47,2.59,0,0,0,2.57,5.88,0,0,3.63,340.86,1.73,516.2,60.4,240.73,7.37,0,3.69,0,0.91,24.71,0,12.61,0,0,8.72,0,29.64,806.14,15.95,0
 60-70,0,4.68,17.7,2008.59,0,0,45.58,0,277.47,30.37,82.12,64.42,0,0,0,0,0,0,6.47,0,490.19,36.08,1369.53,42.89,164.29,2.09,0,69.52,0,19.9,18.09,0,21.42,0,0,25.27,0,222.54,1527.89,409.57,21.75
 72-82,0,14.37,2.24,3056.18,8.34,0,291.4,0,503.87,27.37,182.56,441.86,2.07,14.03,1.85,0,0,0.65,0,7.34,898.6,16.62,2912.89,44.41,223.5,0,2.85,140.59,0,92.29,27.06,0,21.22,5.17,0,51,11.66,875.36,4121.04,1119.23,22.58
 84-94,0,22.24,6.82,6344.16,16.05,0,316.54,0,909.91,38.18,115.5,573.12,0,48.43,9.2,28.18,0,14.48,3.72,4.2,1121.47,61.62,4020.27,34.79,124.77,0,1.52,398.89,0,91.69,58.77,0,90.94,0.83,0,10.24,2.26,1001.15,4747.62,1294.95,10.07
 96-106,0,7.97,28.93,13061.37,60.38,8.36,492.78,22.18,1793.96,55.86,171.22,1178.09,0,75.71,81.84,61.07,6.43,15.15,62.56,0,2047.56,132.94,4430.01,174.28,806.61,8.48,8.78,681.37,0,333.68,124.85,0,72.46,0,0,49.11,82.31,1743.27,5851.32,1353.75,16.1
108-118,0,8.84,26.28,13708.24,23.53,4.65,341.79,2.39,2656.53,19.02,228.53,1100.39,0,59.98,114.07,155.16,4.47,4.84,207.82,0.6,2285.06,79.26,7570.34,145.59,541.53,13.01,9.61,841.49,0,570.22,83.77,0,42.03,0,0,47.44,2.29,1046.67,6074.49,794.08,9.8
120,2.37,0,5.11,11396.31,48.94,7.31,256.32,9.04,1374.91,21.24,345.43,1838.32,0,130.74,440.02,53.94,13.98,6.76,12.29,0,1684.71,45.16,16377.43,98.89,935.94,16.67,0,600.68,0,907.38,123.48,0,55.56,0,0,20.83,1.84,2074.24,5015.4,1025.55,0
