stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.59,1329.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.05,0,0,0,0,0,0,0,0,0
  5-6,27.76,333.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.83,0,0,12.48,0,21.06,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.09,0,0,0,20.84,0.91,2.28,0.93,15.58,0,0,0,0,0
 24-34,0,0,0.67,3.03,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0.69,0,0,0,130.18,0,0,0,14.96,0,0.99,0.61,44.36,0,0,0,0,0
 36-46,0,0,0,0,0,0,4.18,0,0,0,8.25,0,0,0.91,0,0,0,0,1.3,0,0,0,509.97,0,0,0,14.31,0,0,0,110.37,0,0,0,0,0
 48-58,0,0,0.46,3.57,0,0,52.14,0,0,0,22.89,0,0,0,0,0.43,0,0,19.3,0,0,0.48,711.42,1.3,0,0,8.39,0,0,0,106.99,0,0,0.48,0,0
 60-70,0,0,0,1.16,0,0,268.28,0,0,0,77.72,0,0.6,0,0.7,0,0,0,11.88,0,0.64,0.74,1077.96,0,0,0,19.14,0,0.86,0,171.03,0,0,0,0,0
 72-82,0,0,0.57,7.14,0.95,0,422.77,0,0,0.93,135.56,0.53,0,0,0,0,5.32,3.31,12.29,0.54,0,0,1049.18,0,1.31,0,14.43,0,0,0,91.86,0,0,0.68,0,3.15
 84-94,0,0,1.05,1.6,2.89,0,274.55,0,0,1.06,73.83,0,1.02,0.95,1.54,0,0,0,9.74,0,8.19,0,673.7,0,0.72,0,26.71,0,0.66,0,71.09,0.9,0,1.91,0.77,6.4
 96-106,0,0,1.09,8.45,0,0.8,393.29,0,2.6,0,104.64,0,0,0,0.79,0,5.88,0,23.14,0,0,1.63,669.55,2.11,4.63,0,85.73,0,0,0,23.86,0,0,5.52,0,0
108-118,0,0,0.83,1.84,1.81,0,334.55,0.98,2.31,0,145.74,0,0,0,2.22,0,4.08,1.79,9.59,0.53,0,0,636.32,0.61,1.31,0,51.62,0,0,0,36.86,1.01,0,2.51,2.62,0
120,0,0,0,1.76,1.34,0,277.64,0,1.26,0,183.39,14.49,0,0,0,0,0,0,24.26,0,10.36,0,962.51,0,4.96,0,38.35,0,0,0,26.26,0,2.55,2.09,0,0
