stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,11.28,366.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.71,0,0,0,0,0,0,0,0,0,0
  5-6,43.26,420.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,20.24,15.34,0,0,0,38.31,0,0,0,10.95,0,0,0,0,0,0,0,0,0,0,340.5,37.03,0,0,124.78,0,0,7.87,0,0,0,0,0,0,0,0,0
 10-12,0,9.06,65.99,0,12.48,20.69,0,0,0,24,0,0,0,0,0,0,0,0,0,0,440.47,31.97,0,0,93.41,0,0,13.4,0,34.05,0,0,0,0,0,0,0
 14-21,0,0,0,3.05,0.81,5.41,0,0,0,0,0.89,0,0,0,0,0,5.63,0,0,0.98,25.43,0,0,0,0,0,0,0,3.33,0,0,4,13.8,0,0,0,0
 24-34,0,0,0,0,1.09,6.15,1.71,1.46,0,0,0,0,0,0,0,0,9.8,0,0,3.89,132.9,0,4,0,0,0,2.63,0,0,0,0,3.55,14.57,0,0,0.88,0
 36-46,0,0,0,0.82,0,16.85,0.87,8.2,0,0,0,0,0,0,0,0,10.02,0,0.72,2,169.65,0.66,2.89,0.57,0,0,0,0,0,1.06,1.13,0,38.45,0,0,1.21,0
 48-58,0,0,0,11.24,0,42.54,0,8.49,0,0,0,1.22,0,0,0,0,8.62,0,0,4.57,226.35,6.98,0.47,2.02,0,0.59,0,0,0,0,0,0,30.26,0,0,0.73,0
 60-70,0,0,0,3.16,0,79.67,0,16.32,0,0,0,0,0,0,0,0,34.37,0,0,1.37,181.23,0,0,0,0,0,2.12,0,0,0,0,0,23.73,0,0,12.69,0.85
 72-82,0,0,0,13.43,4.48,141.03,2.47,19.38,0,0,0,0,0,0,0,0,26.05,0,0.97,1.85,137.06,0,0,0,0,0,0,0,0,0,0,0,22.82,0.53,1.55,5.23,0
 84-94,0,0,0,6.74,4.69,74.53,1.05,15.24,0.71,0.6,0,0,0.56,5.42,0,0.59,18.02,0,0,0.61,111.02,0,0,1.12,0,0,4.3,0,0,0,0,0,18.15,0,0,2.47,0
 96-106,0,0,0,0,0,38.08,0.64,5.92,0,0,0,0.8,0.83,0.79,0,0,23.88,0,0,1.41,74.75,0,1.65,0,0,3.14,4.52,0,0,0,0,0,3.83,0,1.26,1.15,0
108-118,0,0,0,4.48,1.9,50.75,2.49,3.5,1.97,0,0,1.39,1.27,1.26,0.51,0,7.13,0.51,1.47,0,73.07,0,1.69,1.16,0,0,5.31,0,0,0,0,0,0.65,0,0,2.77,0
120,0,0,0,1.2,0,18.84,0,25.55,0,0,0,0,0,0,0,0,27.19,0,0,0,225.78,0,0,0,0,0,11.48,0,0,0,0,0,6.83,0,0,0,7.07
