stage,eye,glial,neural,spinal.cord
 14-21,0,0,1.3,1.9
 24-34,0,0,0.76,0
 48-58,0.43,0,0,0
 84-94,0.83,0.82,0,0
 96-106,0,3.2,0,0
108-118,0,0,2.12,0
120,0,9.67,0,0
