stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,25.56,309.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,296.29,0,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,15.35,0,0,0,0,0,0,0,0
  7-9,0,22.01,0,25.81,0,0,0,50.41,0,0,0,0,28.03,0,0,0,0,0,458.01,23.91,0,0,242.39,0,8.66,0,0,0,0,0,0,0
 10-12,0,40.37,0,22.66,0,0,0,107.89,0,0,0,0,56.24,0,0,0,0,0,718.06,3.65,0,0,371.35,0,0,0,50.43,0,0,0,0,0
 14-21,0,0,0,0,12.08,2.86,0,1.66,0,0,1.02,0.98,0,0,0,0,1.88,0,31.72,0,0,0,0,0,0,5.43,0,1.37,7.11,9.28,0,0
 24-34,0,0,0,0,0,1.9,0,6.26,0,0.7,0,0,0,0,0,0,3.86,1.02,52.88,0,1.13,1.09,0,0.78,0,0,0,0,3.65,9.09,7.1,0
 36-46,0,0,0,0,0.7,0,0,12.14,0,0,1.72,0,0,0,0,0,4.44,0.63,50.51,0,0,0,0,0.99,0,0,0,0,0,15.42,0.71,0.61
 48-58,0,0,0,0,0.66,0.45,0,17.74,0.44,0.42,9.22,0,0,0,3.82,0,3.38,0.4,50.39,0,0,1.22,0,0,0,0,0,0,0,7.97,0,0
 60-70,0,0,0,0,0.69,0,0,20.93,0,0,2.69,0,0,1.09,0,0,5.52,0.68,67.22,0,0,0,0,0,0,0,0,0,0,5.18,0,0
 72-82,0,0,0,0,0,0,0,20.3,0,0,2.19,0,0,0,0,0,5.41,0,49.2,0,0,0,0,0,0,0,0,0,0,0.64,1.64,0
 84-94,0,0,0,0,0,0,1.17,13.93,0,0.83,2.45,0,0,0,0,0,4.37,1.13,25.19,0,0,0,0,1.89,0,0,0,0,0,0,0,2.11
 96-106,0,0,0,0,0.64,0,1.71,2.64,0,0,0,0,0,0,0,1.08,1.87,0.59,20.33,0,0,0,0,0,0,0,0,0,0,0,0.58,0
108-118,0,0,0.79,0,1.77,0,0,11.15,0,0,1.84,0,0,0.92,0.66,0,2.81,1.59,35.81,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,3.16,0,52.54,0,0,0,0,0,0,0,0,0,0,0,1.89,0
