stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0
 24-34,0,0,0.75,0,0,0,0.61,0,0,0,0,0,0,0,0,0,13.87,0,0,2.22,2.09,0,0,0,6.95,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.68,0,0,0,0,0,0,0,0,0,4.03,0,0,6.47,5.09,0,0,0,4.72,0,0,0,0,0
 48-58,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0.5,6.45,0,0.4,3.75,4.02,0,0,0,5.23,0,0,0,0,0
 60-70,0,0,0.73,0,12.31,5.88,0,0,0,17.23,14.13,0,0,1.06,0,0,1.04,0,0,18.46,0,0,0,0,0.88,0,0,0,0,0
 72-82,0.87,0,3.98,0,152.08,9.74,0,0,2.36,37.77,23.23,0,0,0,0,6.21,3.07,0,0,32.44,0,0,0,1.27,5.01,0,0,0,0,0
 84-94,0,0,1.23,0,261.07,12.41,0,0,5.88,322.6,36.9,0,0,4.93,0,11.44,2.79,2.38,0,52.53,7.76,0,2.03,1.59,0,1.04,0,0,0.82,0
 96-106,1.38,0,3.32,0.92,425.42,30.05,0,0,4.53,325.54,68.27,0,0,0.97,0,9.86,3.33,0,2.4,54.94,0,2.31,0,5.72,2.33,0,1.16,0,0,12.55
108-118,0,1.06,6.68,0,1029.71,40.7,1.31,0.59,0,824.01,20.84,0,0,7.09,2.97,17.1,4.34,0,0.6,88.02,2.15,0,8.25,2.86,0,0,0,1.92,0,0
120,3.99,0,0,0,372.62,14.5,0,0,0,283.94,31.35,2.78,1.13,0,0,12.8,0,0,0,43.1,0,0,0,1.45,0,0,0,0,0,0
