stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  3-4,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.99,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.8,0,0,4.76,0,0,0,0,0,0,0,0,42.35,14.66,0,0,21.8,0,0,0,0,0,0
 10-12,0,10.05,0,0,0,0,13.42,0,0,0,0,0,0,0,0,94.07,0,0,0,20.1,0,8.24,0,0,0,0
 14-21,0,0,0,0,1.26,0.92,0.88,0,22.79,0,0,0,0.86,0,1.56,20.85,0,0,0,0.86,0,6.99,21.48,0,1.08,0
 24-34,0,0,0,0,0,0,0.68,0,22.1,1.33,0,0.71,3.49,0,0.91,35.52,0,5.73,0,0,0,4.9,35.57,0,1.29,0
 36-46,0,0,0,0,1.02,0,1.37,2.07,39.32,0.69,0,0,4.01,0.55,2.32,47.07,0,21.78,13.97,0,1.25,6.51,68.26,0,0.65,0
 48-58,0,0,0,0,2.46,0,1.18,0,7.07,0.55,0,0,0.5,0,0.48,13.12,0,14.17,0.45,0,0,3.89,18.93,0,0.47,0.47
 60-70,0,0,0,0,0,0,0,0,2.21,0,0,3.15,0,0,0,3.22,0,6.08,5.12,0,1.92,0,9.04,0,0,0
 72-82,0,0,0.69,0,0,8.65,5.25,0,4.89,0,0,0,12.43,1.4,0,13.02,0,14.97,11.62,0,0,0,10.1,0,0,0
 84-94,0,0,0,0,0,0,0,0,2.56,0,0,1.16,0,0,0,1.31,0,1.41,9.11,0,0,0,2.49,0,0.83,0
 96-106,0,0,0,1.07,0,0,5.9,0,5.24,0,0,9.58,2.27,0,0,1.9,0,26.02,6.49,0,2.77,1.5,8.48,0.81,0,0
108-118,0,0,0,0,0.41,0,8.16,0,4.61,0,1.15,5.02,0,0,0,2.35,0,12.57,5.09,0,3.19,3.25,2.55,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.18,0,0,15.55,0,19.58,29.34,0,1.01,2.81,3.5,0,0,0
