stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature
  5-6,33.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.83,0,0,0,0,0
 14-21,0,0,0,0,2.6,0,0,0,0,0,0,0.96,0,1.09,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,8.29,0,0,0,0,0,0,2.89,0,0,7.88,0,0,0,0,0,0,1.71,0
 36-46,0,0,0,0,2.5,0,0,0,0,0,0,1.74,0,0,12.8,0,0,0,0,0,0,14.9,0
 48-58,0,0,0,0,11.05,0,0.5,0.7,0,0,0,3.94,0,0,18.89,0,0,0,0,0,0,5.75,0
 60-70,0,0,0,0,97.25,0,0.87,2.8,0,0,0,3.55,1.64,0,36.72,0,0,0,0.63,0,0.62,6.77,0
 72-82,0,0,0.96,3.52,288.06,5.77,0,1.76,1.08,0,0,3.72,8.19,0,82.78,0,0,0,0,0.79,0,6.49,0
 84-94,0,1.05,0.71,0,351.42,0,0,0,0,0.97,0,9.86,0,0,35.87,0.66,1.86,0,0,0,0,4.68,0
 96-106,0,0,0,0,297.4,0,0,5.4,0,0,0.58,2.57,0,0,53.55,0,1.59,0,0.83,10.14,0,3.15,0
108-118,0,0,0,0,221.86,0.52,0,2.78,0,0,0,12.69,0,0.51,28.75,0,0.98,0,0.76,0.94,0,2.97,1.22
120,0,0,3.25,0,307.46,0,0,14.68,0,0,0,16.31,0,0,78.57,0,11.81,0,0,0,0,0,0
