stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.74,0,0,0,9.7,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.75,10.25,0,0,6.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.21,1.02,0,0,0,0,0,0,0,0,0,0,6.71,0,0,0,0,1.13,0,0,17.05,1.85,0,0,0,0,0,0,8.12,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,0,0,51.6,0,1.31,0,0,0,0,0,86.86,0,0,0,0,0
 36-46,0,0,0.74,0,0,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54,0,1.31,172.48,0,1.22,0.61,0,0,0,0,291.24,0,0,0,0,0
 48-58,0,0,0,0,0,0.65,0,153.77,0,0,0,6.82,0,0,0,0,0,0,0,0,0.56,13.29,0,0,393.33,0,0,0,0,0,0,0,252.95,0,0,0,0,8.84
 60-70,0,0,0,0,6.44,0,0,820.75,0,0,0,20.18,0,4,0,1.74,0,0.6,0,0,3.44,19.65,0.63,15.62,1016.42,0,2.5,0,0,0,1.48,0,393.13,0,0,6.09,0,5.36
 72-82,0,0,1.49,0,9.6,0.57,0,2019.77,0,3.34,0,23.53,0,0,0,0,0,0,0,0,7.1,29.28,0,0,1195.71,0,1.18,4.12,0,0,2.41,0.73,359.65,0,0,2.09,0,6.76
 84-94,0,0,0,0,4.5,4.76,0,961.76,0,1.69,3.34,15.47,0,0,0,2.18,0,0,0,4.39,0,20.65,0.99,2.13,757.06,0,0,1.22,0,1.01,4.04,1.1,271.62,0,0.74,0.61,1.15,0
 96-106,0,0,0,0,5.2,11.69,0.63,932.71,0,1.51,1.06,54.25,0.58,0,0,0,0.61,0,2.23,9.55,0,24.87,0,0.62,829.49,0.85,4.3,0.62,0,0,5.23,0,180.45,1.13,1.2,0,0,14.72
108-118,0,0,0,0,8.17,0,0,927.93,0,0.5,0.6,52.16,0,0,0,0,0,0,0,0,0,14.35,0,0.69,1019.79,0,2.35,4.66,0,2.05,2.23,0,171.36,0.89,0,1.98,0.72,6.96
120,0,0,0,1.28,0,0,0,1399.42,2.29,1.81,0,116.89,0,0,1.85,11.62,0,0,0,0,0,30.11,0,3.71,2240.69,0,0,13.55,0,0,6.4,0,181.06,0,0,0,0,0
