stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,7.06,0,0,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.51,0,0,0,57.06,0,29.71,0,0,0,0,0,0,0
 14-21,0,0,0,25.44,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.52,0,0,0,32.6,0,0,0,0,0,0,0,0.97,9.14,0,0,0,0
 24-34,0,0,0,9.38,0,0.66,0,0,0,0,0,0,0,1.31,0,0.86,3.91,0,0,0,0,0,570.32,0,1.91,0,0,0,0,0,0,50.79,0,0,0,0
 36-46,0,0,0,12.02,0,12.78,0,0,0,9.25,0,0,0,1.26,12.32,0,4.79,1.38,0,0,0,0,1049.68,0,0.91,0,0,8.56,0,0,0,222.84,0,0,0,0
 48-58,0,0,0,11.73,0,56.82,0,0.78,0,17.07,0,0,0.53,0,0,0,0.7,0,4.56,0.51,0,0,1162.54,0,0,0,0,1.04,0,0.73,0,98.46,0,0,0,11
 60-70,0,0,1.36,4.69,0,299.74,0.68,0,0.87,0,0,0.88,1.05,0.6,0,0,0,0,26.17,0,0,0,1618.63,0.7,0,0,0,0,0,0,0,51.81,0,1.54,0,0
 72-82,0,0,0,5.25,7.28,744.67,0,0,1.85,26.93,0,0,0.55,0,0,0,1.17,0,58.51,0,5.16,0.61,2216.87,0,1.18,0.59,0,2.96,0,0,0,60.61,0,3.58,3.43,11.31
 84-94,0,0,0,22.74,26.62,621.47,1.02,0,1.17,15.69,0.79,0,0,1.25,8.39,1.39,0,0,13.12,0,5.45,0,1608.09,1.75,0,1.46,0,4.16,0,0,0,69.79,2.12,0,0,2.43
 96-106,0,0.83,0,9.9,6.82,879.31,0,0,0,42.79,2.54,0,2.06,1.87,0.98,0.6,5.41,7.05,51,0.79,0,0,1382.64,0,0,1.07,0,4.12,0,0,0,42.21,0,0,5.1,1.26
108-118,0,0,0,17.61,2.1,1341.05,2.05,0.5,1.23,57.75,0.41,0,10.69,0.99,1.58,0,0,0,37.23,1.48,0,3.76,2607.86,0,0,0.42,0,0,0,0,0,31.16,2.28,4.28,4.78,0
120,0,0,0,40.36,10.85,1156.44,12.08,2.41,0,45.64,0,0,12.06,0,0,0,0,0,33,0,0,0,3860.73,0,15.59,0,0,1.61,0,0,0,69.88,0,10.09,0,0
