stage,axial,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,11.32,277.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0
  5-6,6.33,531.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,10.51,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.56,4.84,0,53.2,5.64,0,0,0,0,0,0
 14-21,0,0,1.01,0.93,0,0,1.33,0,0,0,0,1.23,0,1.85,16.54,2.01,0,2.75,3.15,2.99,2.73,6.78,0,0,0
 24-34,0,0,1,3.22,0,0,1.07,0,0,0,0,1.92,0,0,42.35,1.57,2.77,0,1.25,0,0,9.53,0,0,0.86
 36-46,0,0,0,1.91,0,0,1.88,0,0,0,0,3.81,0,0,40.94,0,0,0,0,0,0,7.91,0,0,0
 48-58,0,0,0,10.95,0,0,0,0,0,0,0,5.42,0,0.43,36.65,0,0,0,6.28,0,0,12.31,0,4.99,0
 60-70,0,0,0,27,0,1.55,7.08,0,0,0,0,7.65,0,0,79.16,0,0,0,0,0,0,11.05,0,0,0
 72-82,0,0,0.95,17.47,0,0,4.12,0,0.74,0,0,13.69,0,0,40.53,0,0,0,0,0,0,1.81,0,0,0
 84-94,0,0,0.61,6.07,0.63,1.43,0,1.14,0,0.78,0,1.53,1.07,0.76,23.78,0,0,0,3.08,0,0,3.39,0,0.6,0
 96-106,0,0,0,8.49,0,0,0,0,0,0.8,0,0.79,0,0.86,11.32,0,0,0,0.83,0,0,0,0,0,0
108-118,0,0,0,17.39,0,0,0,0,0,2.53,0,8.63,0,0,9.93,0,0,0,0,0,0,0.62,6.37,0,0
120,0,0,0,0,0,0,7.09,0,0,0,1.64,7.47,0,0,47.81,0,0,0,0,0,0,7.61,0,0,0
