stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,hatching_gland,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  3-4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.71,172.01,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0
  7-9,9.71,0,0,0,0,0,0,0,0,0,0,0,0,44.45,0,0,27.16,0,0,0,0,0
 10-12,0,0,0,0,10.02,0,0,0,0,0,0,0,0,24.76,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.85,1.71,0,0,0.99,0,0,0,0,0.92,29.08,0,0,0.96,0,2.51,1.84,5.36,0
 24-34,0,0,0,0,2.16,0,0,0,0,0,0.79,1.58,0.71,23.11,0.63,0,0,1.01,0,0.66,10.24,0
 36-46,0,0,0,0,1.67,4.47,0,0,0,0,0,1.79,0,6.34,0,0,0,0,0,0,0.87,0
 48-58,0,0,0,0,2.1,0,0,0,0.53,0,0,0.41,0,7.64,0,0,0,0,0,0,2.33,1.01
 60-70,0,0,0,0,1.56,2.16,0,0,0,0,0,1.78,0.84,2.21,0,0,0,0,0,0,0,2.96
 72-82,0,0,0.56,0,0.94,0.76,0,0,0,3.28,0,3.43,0,1.05,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.01,0,0.76,0,0,7.26,0,1.46,0,0,0,0.61,0,0,0,0,0,0.8
 96-106,0,0,0,0,10.22,0,0,0,0,0,0,1.08,0,1.83,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0,0,0,0,0
