stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.35,923.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.62,0,0,0,0,0,0
  5-6,0,882.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19,0,0,0,17.34,0,0,0,0,0,0
  7-9,7.01,0,0,5.02,0,0,3.63,0,0,0,0,4.81,0,0,0,0,0,0,65.02,0,0,38.94,0,0,0,0,0,0,0
 10-12,0,0,0,23.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.06,0,0,35.71,0,0,10.54,0,0,0,0
 14-21,0,0,0,3.15,55.69,6.97,1.79,0.87,0,1.09,4.73,0,0,1.18,17.47,22.69,0,11.62,9.75,0,0,1.73,1.48,5.63,1.86,0.89,0,0,0
 24-34,0,0,0.84,0,1.59,0,1.34,1.55,0,0.61,2.03,0,0,0.74,18.77,26,0,4.57,10.03,0.7,0,0,0,0,0,1.27,0.62,0,1.34
 36-46,0,0,0,0.56,0,0,0.6,5.73,0,0,6.08,0,0,0,5.34,2.94,0,0,9.4,0,1.13,0,3.22,0,0.59,0,0.75,0,0
 48-58,0,0,0,0.4,0,0,0,3.44,0,0,3.41,0,0,0,2.15,0,0,0,5.22,0,0,0,0,0,0,0,0.81,0,0
 60-70,0,0,1.29,0,0,0,8.3,1.95,0.84,0,13.98,0,0,0,0,0.58,0,0,2.22,0,0,0,0,0,0,0,13.91,0,0
 72-82,0,0,1.33,0,0,0,2.36,0,0,0,9.74,0,0.68,0,1.21,1.98,1.82,0,21.14,0,0,0,0,0,0.64,0,0,2.24,0
 84-94,0,0,0,0,0,0,5.9,5.26,0,0,32.66,0,0,0,1.54,1.17,0,0.67,3.92,0,0,0,0,0,0.57,0,0,0,0
 96-106,0,0,1.84,0,0,0,5.98,5.62,0,0,35.94,0,0,0,7.87,2.34,0,0,19.6,0,0,0,0.69,0,0,0,2.47,0,0.65
108-118,0,0,0,0,0,0,5.06,11.07,0,0,32.26,0,0,0,12.68,0,0,0,11.72,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,5.85,3.87,0,0,55.02,0,0,0,7.03,0,0,0,6.64,0,0,0,0,0,0,0,0,0,0
