stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,82.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0
  5-6,11.97,150.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.54,0,0,0,3.31,0,0,0,0,0,0,0,49.94,5.69,0,0,17.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.14,0,0,0,0,0,0,0,0,0,0,0,54.1,0,0,0,27.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,0,8.44,0,0,0,0.87,0,0.84,0,0.97,1.71,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.26,0.66,0,0,0,0.93,0,0.78,0,0,24.05,0,0,0,0,0.86,0,0,0,8.06,0,0.71,0
 36-46,0,0,0,0.62,0,0,4.93,0,0,0,0,0,0,0,0,0.67,0,0.95,26.05,0,0,0,0,0.59,0,0,0,3.35,0,0,0
 48-58,0,0,0,0,0,0,11.76,0,0.83,0,0,0,0,0,0,4.42,0.49,0,18.57,0,0,0.46,0,0.39,0,0.37,0,4.06,0,2.05,0
 60-70,0,0,0,0,0,0,4.68,2.39,1.34,0,0,0.79,0,0,0,0.74,0,0.68,23.25,0,0,0,0,0.6,0,0,0,2.4,0,0,0
 72-82,0,0,0,0,0.85,0,6.68,0,0,0,0,0,0,0,0,6.05,0,1.1,28.07,0,0,0.97,0,0,0,0,0,1.58,0,0.54,0
 84-94,0,0,0.84,0,0,0,3.75,0,0,0,0,0,0,0.68,0,0.76,0,0,16.58,0,0,0,0,1.48,0,0,0,1.44,0,0,0
 96-106,0,0,0,0,2.35,0,10.81,0.69,1.89,0,0,0,0,0,0,2.59,0,0,16.94,0,1.08,0,0,2.12,0,0,0,0,2.5,0,0
108-118,0,0,0,0.77,0,0.82,19.31,0.71,1.12,0,0,0,0.64,0,0,1.61,0,0,16.9,0,0,0,0,3.23,0,0,0,6.59,0,7.81,1.19
120,0,0,0,7.88,0,0,13.46,0,19.22,0,0,0,0,0,7.44,1.94,0,0,26.36,4.01,0,0,0,0,0,0,0,0,0,0,0
