stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,18.11,4.03,0,0,10.02,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,16.3,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0
 24-34,0,0,3.9,0,0,0,0,0,0.91,0,0,0,0,0,0,2.43,1.14,0,0,0,0,0,0.9,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.39,0,0,0,0,0,0,0,0,1.03,0,0.58,1.33,0,0,0,0,0,0.64,0,0,0.62,0,0
 60-70,0,0,1.88,0.86,0,0,0,1.91,0,0,4.79,0,1.26,5.19,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,1.17,0,0,0,8.93,0,0,1.73,13.07,1.89,0.74,3.89,5.96,0,0,0,0,0,0,0,0,0,3.02
 84-94,0,0,0,0,0,1.68,0,0.61,0,0,10.1,1.87,0,2.43,0,0.95,0,0,0,0,0,0,0,5.52,0
 96-106,0,0,1.93,0,1.19,0,0,0,0,1.13,19.85,4.37,0,0.64,0,0,0,0,1.57,0,0,0,2.51,1.03,5.02
108-118,0,0,0,0,0,0,0,0,0,0,18.8,2.52,0,2.15,0,0,1.7,0,1.49,0.94,0,0,0,0,7.96
120,0,0,0,0,0,0,0,2.62,0,0,10.62,1.45,0,14.15,0,0,0,0,0,0,4.05,0,0,0,15.23
