stage,axial,blastomeres,hatching.gland,neural,notochord,paraxial.mesoderm
  5-6,0,7.95,0,0,0,0
  7-9,3.94,0,0,17.73,3.71,26.48
 10-12,0,0,10.99,25.67,0,0
