stage,endocrine_pancreas,epidermis,eye,fast_muscle,glial,gut,melanocytes,mesenchyme,mucous,muscle,neural,pronephros,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,1.01,3.97,0,0
 24-34,0,0,0,0,0,0,0,0.81,1.09,0,8.3,0,3.11
 36-46,0,0,0,0,0,0,0,0.78,0.77,0,15.5,0,1.3
 48-58,0,0,2.13,0,0.89,0,2,0,0,0.5,18.04,0,6.76
 60-70,0,0,9.68,0,1.26,0,0,0,1.09,0,25.01,1.35,4.58
 72-82,0.93,0,4.41,0,0.88,0,0,0.98,2.08,0,24.99,0,0
 84-94,0,0,6.54,0,0.68,0,0,0.56,0.57,0,31.1,0,0
 96-106,0,0,18.86,0,3.02,0.67,0,0,3.83,0,6.83,0,0
108-118,0,0,2.02,0,1.41,0.59,0,3.44,3.37,0,20.98,0,0.47
120,0,1.77,3.55,2.98,0,0,0,0,0,0,35.7,0,0
