stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,hatching.gland,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,216.61,0,0,0,0,0,0,0,0,0,0,0,0,30.95,0,0,0,0,0,0
  5-6,33.89,367.74,0,0,0,0,0,0,0,0,0,11.91,0,6.56,15.14,0,0,0,0,0,0
  7-9,3.8,7.93,4.83,0,0,20.98,18.26,0,0,0,0,164.74,0,50.05,0,9.39,0,0,0,0,0
 10-12,0,0,0,0,0,5.83,0,0,0,0,0,75.35,0,44.85,0,0,0,0,0,0,0
 14-21,0,0,0,1.91,0,1.89,0,0,1.19,0,1,3.77,2.18,0,0,0,1,1.24,7.24,1.2,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,3.33,0,0,0,0,0.73,0.64
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.42,0,0,2.38,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0.56,0,1.36,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.01,1.62,0,0,3.99,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.45,0,0,5.69,0,0,0.89,2.41,0,0,0.91,0,0,0,0,0,0
