stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,93.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.02,0,0,0,3.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.05,0,0,0,11.87,0,0,0,0,5.96,0,0,0,0,0
 14-21,0,0,0.94,8.41,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.19,4.09,0,0,1.04,1.3,0,0,2.1,72.08,45.68,2.36,0,0,0,0
 24-34,0,0,0,0.89,0,0,1.43,22.51,0,0,0,0,0,3.83,0,9.1,6.88,0,6.54,0,0,31.86,71.47,0,0,5.57,0,0,0.92,0,56.9,70.13,13.59,0,0,0,0
 36-46,0,0,0,0.73,0,0,1.18,79.9,0,1.25,1.05,0,0,0,0,0.61,0,0,1.47,0,0,3.84,53.12,3.3,0,13.51,0,0,0,0,49.49,6.52,0.85,0,0,0,0
 48-58,0,0,0,1.39,0,0,14.72,47,0,0,8.8,0,1.26,0,0,1.69,0,5.61,5.55,0,0,2.73,91.73,0.46,0,9.88,0,0,3.52,0,37.01,0,9.21,0,0,0,1.32
 60-70,0,0,0,0,0,0,35.46,30.43,0,0,3.81,0,0,0,0,5.74,0,0,10.21,0,0,7.19,26.98,0,0,20.76,0,0,7.1,0,38.45,0,4,0,0.86,0,0
 72-82,0,0,0,0.56,0.59,0,11.63,26,0,0,8.02,0.56,0,0,0,17.44,0,0,5.62,0,0,7.01,25.03,0,0,37.3,0,0,0,0,20.13,0,0,0.81,0.67,0,7.1
 84-94,0,0,0,0.61,1.92,1.06,17.35,22.3,0,0,1.11,0.61,0.95,2.72,0.6,17.64,0.68,2.56,11.65,0,2.99,11.87,24.42,0,0,32.88,0,1.49,0,0,52.34,0,0,0,0,0,0
 96-106,0,0,0,0.62,2.37,0,44.39,84.1,0,0,13.18,1.59,0,2.3,0,19.59,0.77,0,9.05,0,0,10.44,37.8,0,0.66,43.49,0,0,5.26,0,56.18,0,3.7,0,2.02,0.69,0
108-118,0,0,0,0.61,8.73,0,37.52,73.31,1.38,0,4.83,1.21,0,3.13,0.59,24.01,7.65,0,2.53,0,3.22,11.28,54.64,0,0,40.55,0,3.27,8.38,0,39.91,0,0,0,5.11,2.72,0
120,0,0,0,0,0,0,23.65,72.84,0,0,1.75,1.74,0,1.5,0,28.73,0,0,38.49,1.1,0,3.38,20.66,0,0,68.61,0,0,11.27,1.12,5.85,0,0,0,2.97,0,0
