stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,78.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,52.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.27,14.69,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.81,0,0,0,0,0,0,0,0,0,0,0,120.52,7.74,0,0,0,0,0,0,0
 14-21,0,0,0.97,8.34,1.11,0,0,0,0,0,0,0,19.19,0,0,8.43,19.11,0,1.75,0,1.16,0,13.35,0,0
 24-34,0,0,0,0,4.85,0,0,1.58,0,1.61,0,0,53.61,0.67,0,9.17,22.76,0,0,1.51,1.88,0,29.32,0,0
 36-46,0,0,0,0,0,0,1.46,0,0,0,0,0,55.55,0,0,7.33,14.36,0,0,0,2.43,0,11.87,0,0
 48-58,0,0,0,0,1.66,0,0,0,0,0,0,0,31.35,0,0,2.73,18.89,0,0,0,0.81,0,3.19,0,1.24
 60-70,0,0,0,0,0,0,0,2.48,0,1.4,0,0,25.76,0,1.34,2.94,0.94,0,0,0,0,1.19,2.02,3.45,0
 72-82,0,0,0,0,2.95,0,0,0.56,0.66,0,0,0,36.97,0,0,1.42,1.36,0,0,0,0,5.83,1.29,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,16.52,0,0,0,10.24,0,0,0,0,2.05,0,0,0
 96-106,0,0,3.51,0,6.54,0.57,0,1.78,0,0,0,0,45.48,0,0,0,2.35,0,0,0,0,0,2.83,0,0
108-118,0,0,0,0,2.68,0,0,1.24,0,0,0.63,0,44.56,0,0,0,11.56,0,0,0,0,1.17,7.28,1.93,0
120,0,0,0,0,0,0,0,0,1.42,0,0,1.28,43.13,0,0,0,9.07,0,0,0,14.95,0,0,78.82,0
