stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,2041.8,8095.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.91,0,0,0,0,0,0,0
  5-6,9642.84,19649.08,36.89,0,0,0,0,0,423.6,0,0,0,0,141.82,1153.28,0,0,37.78,38.9,0,0,0,0,0,0,0
  7-9,7705.59,547.7,136,0,0,6632.46,0,0,808.93,0,0,0,0,17467.17,9192.67,0,0,2710.35,51.79,26.18,0,9.82,0,0,0,0
 10-12,18.99,31.56,17.08,0,0,662.11,0,0,6.05,0,0,0,0,1396.23,2542.49,0,0,1438.96,0,0,0,19.55,0,42.48,0,0
 14-21,0,1.36,0,3.44,8.17,0,0,1.09,0,0,0,0,4.01,22.42,455.36,0,0,92.04,0,0,56.92,0,0.88,57.44,30.5,0
 24-34,0,0,0,0,0,0.76,0,0,0,0,1.14,0,0,12.07,8.06,0,0,0,0,0,0,0,0,1.62,2.72,0
 36-46,0,0,0,0,0,0,3.38,0,0,0,0,0,0,18.75,0,0,0.58,0,2.28,0,0,0,0,0,1.56,0
 48-58,0,0,0,3.89,0,17.53,0,0.98,0,0.56,1.3,0,0,25.61,0,0,0,0,0,0,0,0,0,0,1.9,0
 60-70,0,0,0,1.26,0.61,18.86,0,0,0,0,1.94,0,0.79,18.78,0,1.27,0,0,0,0,0,0,0,0,7.96,0
 72-82,0,0,0,0.67,0,8.16,0,6.23,0,0,1.48,0,0,8.68,0,0,0,0,0,0,0,1.05,0,0,0,1.29
 84-94,0,0,0,1.17,2.56,6.1,0,0.92,0,0,1.51,0,0,12.13,0,0,0,0,0,0,0,0,0,0,0,0.64
 96-106,0,0,0,0,0,1.76,0,0,0,0,0.79,0.88,0,5.45,0,0,0,0,0,0,0,0.73,0,0,0,0
108-118,0,0,0,0,0,6.45,0,0,0,0,0,0,0,2.91,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.77,0,0,0,1.97,0,0,0,0,0,38.88,0,0,0,0,0,0,0,0,0,0,0,0
