stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,59.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.34,204.95,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0,0,0,0,0,0,0,0,0
  7-9,5.33,6.62,25.14,0,0,0,26.62,0,0,0,0,0,22.23,0,0,0,0,0,0,0,0,0,0,266.3,0,0,0,41.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.93,35.6,0,0,0,3.32,0,0,0,0,0,25.83,0,0,0,0,0,0,0,0,0,0,149.95,5.37,0,0,45.22,6.84,0,4.43,5.97,0,0,0,0,0,0
 14-21,0,0,0,2.99,0,0,1.66,0,0,0,0,1.28,0,0,0,0,0,0,0,0.83,0,0,1.92,34.39,0,0,0,0,7.13,1.12,5.86,0,1.32,5.7,6.6,0,0,0.87
 24-34,0,0,0,0.67,2.29,0,7.11,0,0,0.74,2.52,0,1.15,0,0.63,0,0,0,0,2.66,0.61,0,0,215.42,0,2.8,0.71,0,1.12,0,0,0.85,0,1.34,32.05,0,2.71,0.77
 36-46,0,0,0,1.35,1.14,0,43.08,0,0,1.33,15.34,0,0,0,10.04,0,0,0,10.41,10.52,0,0,0,220.17,0,0,0,0,0,0,0,4.62,0,0,46.17,0,1.34,2.65
 48-58,0,0,0,1.09,2,0,74.21,0.58,0,0,23.76,0,0.75,0,0,5.4,0,0,8.37,5.63,0.74,0,0.95,181.21,0,0,0,0,0,0,0,0,0,0,22.37,0,4.08,11.72
 60-70,0,0,0,4.91,0,0,68.91,0.65,3.68,0,1.96,0,0,21.67,0.87,0,0,0,2.31,18.16,0,0,0.59,128.54,5.95,3.45,1.49,0,1.85,0,0,0,0,0,5.28,0,0,0.68
 72-82,0,0,0,1.23,7.48,1.04,49.46,0,0,0.62,6.48,0,0,0.83,0,0,0.91,0,0,6.45,0,0,2.66,78.09,0,0,0,0,0,0,0,0,0,0,2.2,0.87,0.53,5.31
 84-94,0,0,0,3.43,0.74,0,15.28,0,0,0,1.78,0.58,0,2.04,0,1.18,0,0,0,1.4,0,1.22,0,36.57,0,0,0,0,4.86,0,0,0.8,0,0,0,1.63,1.76,5.74
 96-106,0,0,0,0,7.94,0,18.01,0,0,0,1.81,0.68,0,4,1.23,0,0,0,0.67,3.39,0,1.26,10.44,44.2,0,1.59,0.73,0,5.18,0,0,0,0,0,0.95,1.17,0,4.5
108-118,0,0,0,2.56,5.29,0,23.11,0,0.45,0,4.6,5.27,0,3.36,0,0,0,3.24,0,2.55,0,0,0.89,22.14,0,4.26,0.84,0,1.09,0,0,0,0,0,2.1,0.54,2.17,6.57
120,0,0,0,2.22,3.42,0,39.37,0,0,1.6,1.14,1.19,0,17.3,0,0,0,0,0,14.39,1.65,2.35,18.74,99.81,0,0,0,0,24.73,0,0,0,0,0,0,0,8.25,0
